Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 11:22:24,,
Header Version:,1,,
System Temp (C):,36.39,,
Detector Temp (C):,32.72,,
Humidity (%):,36.24,,
Lamp PD:,3770,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.274920,23756.000000,12614.000000
905.500242,0.279686,26065.000000,13689.000000
909.444026,0.288539,28446.000000,14638.000000
913.383411,0.290847,31151.000000,15945.000000
917.318397,0.298651,34594.000000,17392.000000
921.248983,0.295833,38706.000000,19586.000000
925.175171,0.294337,43333.000000,22003.000000
929.096959,0.295059,48106.000000,24386.000000
933.014348,0.292729,52854.000000,26937.000000
936.927338,0.286848,57207.000000,29553.000000
942.137815,0.281325,62583.000000,32744.000000
946.040540,0.279583,66412.000000,34887.000000
949.938866,0.276504,70192.000000,37135.000000
953.832793,0.275648,73953.000000,39202.000000
957.722320,0.271160,77741.000000,41638.000000
961.607449,0.272130,81459.000000,43532.000000
965.488178,0.271006,84970.000000,45526.000000
969.364509,0.268817,88307.000000,47553.000000
973.236440,0.265429,91422.000000,49616.000000
977.103972,0.265093,94242.000000,51186.000000
980.967105,0.267257,96650.000000,52233.000000
984.825838,0.265933,98706.000000,53507.000000
988.680173,0.264551,100691.000000,54757.000000
992.530108,0.267772,102102.000000,55114.000000
997.656512,0.267314,103062.000000,55691.000000
1001.496183,0.269448,103488.000000,55647.000000
1005.331454,0.268419,103668.000000,55876.000000
1009.162327,0.268898,103604.000000,55780.000000
1012.988800,0.271560,103501.000000,55384.000000
1016.810874,0.271114,103473.000000,55426.000000
1020.628549,0.271727,103180.000000,55191.000000
1024.441824,0.273471,102848.000000,54793.000000
1028.250701,0.274625,102542.000000,54485.000000
1032.055178,0.273774,102330.000000,54479.000000
1035.855257,0.273958,102161.000000,54366.000000
1039.650936,0.276759,101990.000000,53926.000000
1043.442216,0.276012,101741.000000,53887.000000
1048.490413,0.279472,101666.000000,53420.000000
1052.271428,0.278189,101700.000000,53596.000000
1056.048044,0.278679,101777.000000,53576.000000
1059.820261,0.278897,101906.000000,53617.000000
1063.588079,0.280375,102259.000000,53620.000000
1067.351497,0.280619,102763.000000,53854.000000
1071.110517,0.279871,103190.000000,54171.000000
1074.865137,0.283871,103645.000000,53911.000000
1078.615358,0.282584,104247.000000,54385.000000
1082.361180,0.282620,104844.000000,54692.000000
1086.102603,0.286851,105404.000000,54451.000000
1089.839627,0.286336,105830.000000,54736.000000
1093.572251,0.290276,106541.000000,54606.000000
1097.300477,0.291456,106997.000000,54691.000000
1102.264601,0.295303,107655.000000,54542.000000
1105.982562,0.301918,108209.000000,53994.000000
1109.696123,0.304578,108541.000000,53829.000000
1113.405285,0.312774,108883.000000,52989.000000
1117.110049,0.322818,109111.000000,51886.000000
1120.810413,0.331174,109449.000000,51055.000000
1124.506378,0.348470,110148.000000,49375.000000
1128.197943,0.368066,110387.000000,47299.000000
1131.885110,0.390093,110542.000000,45023.000000
1135.567878,0.410829,110818.000000,43031.000000
1139.246246,0.426129,111041.000000,41625.000000
1142.920215,0.433531,111319.000000,41024.000000
1146.589785,0.427681,111575.000000,41676.000000
1150.254956,0.418154,112030.000000,42774.000000
1155.135007,0.399327,112594.000000,44894.000000
1158.789913,0.391308,113176.000000,45967.000000
1162.440420,0.386881,113756.000000,46676.000000
1166.086528,0.386412,114495.000000,47030.000000
1169.728237,0.387774,115248.000000,47191.000000
1173.365546,0.390854,116196.000000,47243.000000
1176.998457,0.395650,117260.000000,47152.000000
1180.626968,0.398304,118314.000000,47286.000000
1184.251080,0.405090,119420.000000,46988.000000
1187.870793,0.416386,120660.000000,46257.000000
1191.486107,0.423632,122104.000000,46036.000000
1195.097021,0.427379,123408.000000,46128.000000
1198.703537,0.430993,124879.000000,46291.000000
1203.505381,0.431524,127171.000000,47083.000000
1207.101631,0.425981,128929.000000,48347.000000
1210.693483,0.421953,130624.000000,49439.000000
1214.280935,0.415702,132432.000000,50850.000000
1217.863989,0.407924,134356.000000,52521.000000
1221.442643,0.398861,136434.000000,54458.000000
1225.016898,0.390656,138254.000000,56237.000000
1228.586754,0.385226,140110.000000,57709.000000
1232.152210,0.375770,142307.000000,59904.000000
1235.713268,0.370220,144480.000000,61601.000000
1239.269926,0.367044,146375.000000,62867.000000
1242.822185,0.361140,148395.000000,64607.000000
1246.370045,0.359156,150778.000000,65945.000000
1249.913506,0.357202,153060.000000,67245.000000
1254.631278,0.355125,155918.000000,68829.000000
1258.164474,0.354500,157931.000000,69818.000000
1261.693271,0.354765,160225.000000,70789.000000
1265.217669,0.352219,162531.000000,72230.000000
1268.737667,0.353005,164471.000000,72960.000000
1272.253267,0.352722,166342.000000,73838.000000
1275.764467,0.351350,168611.000000,75082.000000
1279.271269,0.350922,170630.000000,76056.000000
1282.773671,0.350608,172186.000000,76805.000000
1286.271674,0.353375,173503.000000,76901.000000
1289.765277,0.352626,175078.000000,77733.000000
1293.254482,0.354822,176321.000000,77890.000000
1296.739287,0.357445,177150.000000,77785.000000
1300.219694,0.358080,178114.000000,78094.000000
1304.853392,0.360758,179516.000000,78225.000000
1308.323534,0.360994,180112.000000,78442.000000
1311.789276,0.362728,180427.000000,78266.000000
1315.250620,0.365183,180849.000000,78007.000000
1318.707564,0.366386,181295.000000,77983.000000
1322.160109,0.369652,181387.000000,77438.000000
1325.608255,0.372890,181312.000000,76831.000000
1329.052002,0.374839,181274.000000,76471.000000
1332.491349,0.377641,181109.000000,75910.000000
1335.926297,0.382856,180689.000000,74830.000000
1339.356847,0.385140,179848.000000,74091.000000
1342.782997,0.388941,179242.000000,73198.000000
1346.204748,0.392996,178573.000000,72247.000000
1349.622099,0.395760,177890.000000,71514.000000
1354.171725,0.400199,176659.000000,70297.000000
1357.578812,0.403906,175938.000000,69415.000000
1360.981500,0.412541,175417.000000,67847.000000
1364.379789,0.418793,174939.000000,66695.000000
1367.773679,0.426739,174429.000000,65295.000000
1371.163169,0.436817,174092.000000,63674.000000
1374.548260,0.444452,173838.000000,62473.000000
1377.928953,0.454074,173647.000000,61037.000000
1381.305246,0.459677,173017.000000,60036.000000
1384.677139,0.465232,172585.000000,59125.000000
1388.044634,0.469514,172273.000000,58439.000000
1391.407730,0.476026,171871.000000,57435.000000
1394.766426,0.479890,171212.000000,56708.000000
1399.237845,0.491698,170477.000000,54950.000000
1402.586276,0.499530,170057.000000,53835.000000
1405.930309,0.506790,169522.000000,52776.000000
1409.269942,0.512178,169040.000000,51977.000000
1412.605176,0.512370,168685.000000,51845.000000
1415.936011,0.509108,168440.000000,52160.000000
1419.262447,0.504841,168277.000000,52624.000000
1422.584484,0.499002,168052.000000,53265.000000
1425.902122,0.494496,168094.000000,53834.000000
1429.215360,0.492495,168176.000000,54109.000000
1432.524199,0.490059,168237.000000,54433.000000
1435.828639,0.485353,168356.000000,55065.000000
1439.128680,0.482312,168675.000000,55557.000000
1442.424322,0.480578,168916.000000,55859.000000
1446.811668,0.476370,169258.000000,56517.000000
1450.097045,0.473816,169379.000000,56891.000000
1453.378023,0.470115,169391.000000,57382.000000
1456.654602,0.468993,169334.000000,57511.000000
1459.926782,0.467441,169305.000000,57707.000000
1463.194562,0.469586,169126.000000,57362.000000
1466.457943,0.467958,168919.000000,57507.000000
1469.716926,0.466284,168594.000000,57618.000000
1472.971509,0.464016,168234.000000,57796.000000
1476.221692,0.462014,167663.000000,57866.000000
1479.467477,0.463039,167217.000000,57576.000000
1482.708863,0.460196,166625.000000,57749.000000
1485.945849,0.457547,166131.000000,57930.000000
1489.178436,0.456925,165518.000000,57799.000000
1493.481710,0.457371,164484.000000,57379.000000
1496.704032,0.455463,164054.000000,57481.000000
1499.921956,0.452470,163401.000000,57648.000000
1503.135480,0.452896,162290.000000,57200.000000
1506.344605,0.452225,161374.000000,56965.000000
1509.549331,0.453856,160366.000000,56397.000000
1512.749658,0.451496,159378.000000,56355.000000
1515.945585,0.450678,158285.000000,56074.000000
1519.137114,0.451089,157316.000000,55678.000000
1522.324243,0.450863,156147.000000,55293.000000
1525.506973,0.450657,155113.000000,54953.000000
1528.685304,0.450662,154000.000000,54558.000000
1531.859236,0.449449,152588.000000,54209.000000
1535.028769,0.448809,151256.000000,53815.000000
1539.247969,0.449443,149501.000000,53113.000000
1542.407237,0.448997,148026.000000,52643.000000
1545.562106,0.447812,146484.000000,52237.000000
1548.712576,0.448700,144932.000000,51578.000000
1551.858646,0.447208,143312.000000,51177.000000
1555.000318,0.448109,141623.000000,50469.000000
1558.137590,0.448072,139790.000000,49820.000000
1561.270463,0.451514,137958.000000,48779.000000
1564.398937,0.452069,136203.000000,48097.000000
1567.523012,0.453951,134303.000000,47221.000000
1570.642687,0.454949,132340.000000,46424.000000
1573.757964,0.458409,130373.000000,45371.000000
1576.868841,0.458572,128194.000000,44596.000000
1581.009834,0.460881,125453.000000,43411.000000
1584.110447,0.462717,123268.000000,42475.000000
1587.206660,0.462879,121128.000000,41722.000000
1590.298475,0.468030,118983.000000,40500.000000
1593.385890,0.467682,116601.000000,39721.000000
1596.468906,0.467544,114492.000000,39015.000000
1599.547522,0.476723,112247.000000,37450.000000
1602.621740,0.481597,110113.000000,36328.000000
1605.691559,0.484792,107845.000000,35319.000000
1608.756978,0.488588,105764.000000,34336.000000
1611.817998,0.497656,103762.000000,32990.000000
1614.874619,0.509602,101454.000000,31381.000000
1617.926841,0.519306,99141.000000,29988.000000
1620.974664,0.540192,96810.000000,27908.000000
1625.031584,0.570549,93749.000000,25201.000000
1628.069142,0.591572,91480.000000,23429.000000
1631.102301,0.619590,89180.000000,21413.000000
1634.131061,0.631060,86957.000000,20335.000000
1637.155422,0.645893,84664.000000,19134.000000
1640.175383,0.643676,82560.000000,18754.000000
1643.190945,0.640317,80299.000000,18382.000000
1646.202108,0.643186,77863.000000,17707.000000
1649.208872,0.637803,75323.000000,17343.000000
1652.211237,0.648119,72646.000000,16334.000000
1655.209203,0.658056,69695.000000,15316.000000
1658.202769,0.693455,66120.000000,13393.000000
1661.191937,0.723738,61928.000000,11699.000000
1664.176705,0.769299,57108.000000,9714.000000
1668.149553,0.793864,49420.000000,7944.000000
1671.124056,0.817253,43252.000000,6588.000000
1674.094160,0.800090,37007.000000,5864.000000
1677.059866,0.794474,31448.000000,5048.000000
1680.021172,0.760352,26509.000000,4603.000000
1682.978078,0.759935,22318.000000,3879.000000
1685.930586,0.758378,18913.000000,3299.000000
1688.878695,0.752792,16215.000000,2865.000000
1691.822404,0.732861,13947.000000,2580.000000
1694.761714,0.730563,12072.000000,2245.000000
1697.696625,0.719060,10552.000000,2015.000000
1700.627137,0.712490,9233.000000,1790.000000
