Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 11:35:47,,
Header Version:,1,,
System Temp (C):,37.14,,
Detector Temp (C):,34.36,,
Humidity (%):,33.42,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.506,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.557547,23756.000000,6580.000000
905.500242,0.557160,26065.000000,7226.000000
909.444026,0.583208,28446.000000,7427.000000
913.383411,0.576965,31151.000000,8251.000000
917.318397,0.592156,34594.000000,8848.000000
921.248983,0.577733,38706.000000,10234.000000
925.175171,0.584356,43333.000000,11284.000000
929.096959,0.579423,48106.000000,12670.000000
933.014348,0.583860,52854.000000,13779.000000
936.927338,0.574692,57207.000000,15232.000000
942.137815,0.566621,62583.000000,16976.000000
946.040540,0.569903,66412.000000,17879.000000
949.938866,0.566415,70192.000000,19049.000000
953.832793,0.570736,73953.000000,19871.000000
957.722320,0.554811,77741.000000,21669.000000
961.607449,0.561118,81459.000000,22378.000000
965.488178,0.562357,84970.000000,23276.000000
969.364509,0.557592,88307.000000,24457.000000
973.236440,0.554374,91422.000000,25508.000000
977.103972,0.550180,94242.000000,26550.000000
980.967105,0.561776,96650.000000,26511.000000
984.825838,0.555279,98706.000000,27483.000000
988.680173,0.551066,100691.000000,28309.000000
992.530108,0.562839,102102.000000,27938.000000
997.656512,0.557599,103062.000000,28543.000000
1001.496183,0.561449,103488.000000,28408.000000
1005.331454,0.557551,103668.000000,28714.000000
1009.162327,0.559877,103604.000000,28543.000000
1012.988800,0.565127,103501.000000,28172.000000
1016.810874,0.560821,103473.000000,28445.000000
1020.628549,0.563346,103180.000000,28200.000000
1024.441824,0.562471,102848.000000,28166.000000
1028.250701,0.568720,102542.000000,27681.000000
1032.055178,0.565100,102330.000000,27855.000000
1035.855257,0.561957,102161.000000,28011.000000
1039.650936,0.573669,101990.000000,27220.000000
1043.442216,0.568542,101741.000000,27476.000000
1048.490413,0.573854,101666.000000,27122.000000
1052.271428,0.569570,101700.000000,27400.000000
1056.048044,0.571280,101777.000000,27313.000000
1059.820261,0.573727,101906.000000,27194.000000
1063.588079,0.574144,102259.000000,27262.000000
1067.351497,0.573041,102763.000000,27466.000000
1071.110517,0.568812,103190.000000,27850.000000
1074.865137,0.581619,103645.000000,27160.000000
1078.615358,0.575098,104247.000000,27731.000000
1082.361180,0.571575,104844.000000,28117.000000
1086.102603,0.586217,105404.000000,27330.000000
1089.839627,0.580642,105830.000000,27795.000000
1093.572251,0.585963,106541.000000,27641.000000
1097.300477,0.585952,106997.000000,27760.000000
1102.264601,0.590151,107655.000000,27662.000000
1105.982562,0.600734,108209.000000,27135.000000
1109.696123,0.596024,108541.000000,27515.000000
1113.405285,0.608178,108883.000000,26840.000000
1117.110049,0.621694,109111.000000,26072.000000
1120.810413,0.625125,109449.000000,25947.000000
1124.506378,0.644749,110148.000000,24959.000000
1128.197943,0.667986,110387.000000,23710.000000
1131.885110,0.692098,110542.000000,22461.000000
1135.567878,0.712920,110818.000000,21463.000000
1139.246246,0.729094,111041.000000,20720.000000
1142.920215,0.738517,111319.000000,20326.000000
1146.589785,0.731974,111575.000000,20682.000000
1150.254956,0.725608,112030.000000,21073.000000
1155.135007,0.693314,112594.000000,22814.000000
1158.789913,0.690481,113176.000000,23082.000000
1162.440420,0.689327,113756.000000,23262.000000
1166.086528,0.684974,114495.000000,23649.000000
1169.728237,0.687802,115248.000000,23650.000000
1173.365546,0.688432,116196.000000,23810.000000
1176.998457,0.697546,117260.000000,23529.000000
1180.626968,0.698416,118314.000000,23693.000000
1184.251080,0.702017,119420.000000,23717.000000
1187.870793,0.723114,120660.000000,22827.000000
1191.486107,0.725323,122104.000000,22983.000000
1195.097021,0.732191,123408.000000,22864.000000
1198.703537,0.733649,124879.000000,23059.000000
1203.505381,0.732951,127171.000000,23520.000000
1207.101631,0.729651,128929.000000,24027.000000
1210.693483,0.725759,130624.000000,24562.000000
1214.280935,0.718890,132432.000000,25299.000000
1217.863989,0.713601,134356.000000,25981.000000
1221.442643,0.695306,136434.000000,27518.000000
1225.016898,0.691446,138254.000000,28134.000000
1228.586754,0.688481,140110.000000,28707.000000
1232.152210,0.673147,142307.000000,30205.000000
1235.713268,0.670693,144480.000000,30840.000000
1239.269926,0.667791,146375.000000,31454.000000
1242.822185,0.661908,148395.000000,32323.000000
1246.370045,0.659416,150778.000000,33031.000000
1249.913506,0.658781,153060.000000,33580.000000
1254.631278,0.655909,155918.000000,34434.000000
1258.164474,0.656040,157931.000000,34868.000000
1261.693271,0.659386,160225.000000,35103.000000
1265.217669,0.651113,162531.000000,36293.000000
1268.737667,0.655346,164471.000000,36370.000000
1272.253267,0.658590,166342.000000,36510.000000
1275.764467,0.649716,168611.000000,37772.000000
1279.271269,0.652661,170630.000000,37966.000000
1282.773671,0.649850,172186.000000,38561.000000
1286.271674,0.659901,173503.000000,37967.000000
1289.765277,0.655106,175078.000000,38737.000000
1293.254482,0.655663,176321.000000,38962.000000
1296.739287,0.662801,177150.000000,38507.000000
1300.219694,0.660481,178114.000000,38924.000000
1304.853392,0.665518,179516.000000,38778.000000
1308.323534,0.663988,180112.000000,39044.000000
1311.789276,0.666776,180427.000000,38862.000000
1315.250620,0.671269,180849.000000,38552.000000
1318.707564,0.668313,181295.000000,38911.000000
1322.160109,0.673563,181387.000000,38463.000000
1325.608255,0.677650,181312.000000,38087.000000
1329.052002,0.679044,181274.000000,37957.000000
1332.491349,0.682556,181109.000000,37617.000000
1335.926297,0.690223,180689.000000,36873.000000
1339.356847,0.685520,179848.000000,37101.000000
1342.782997,0.693737,179242.000000,36283.000000
1346.204748,0.698977,178573.000000,35714.000000
1349.622099,0.700597,177890.000000,35445.000000
1354.171725,0.703912,176659.000000,34932.000000
1357.578812,0.706196,175938.000000,34607.000000
1360.981500,0.721028,175417.000000,33346.000000
1364.379789,0.724096,174939.000000,33021.000000
1367.773679,0.732874,174429.000000,32266.000000
1371.163169,0.742510,174092.000000,31497.000000
1374.548260,0.750214,173838.000000,30898.000000
1377.928953,0.761274,173647.000000,30088.000000
1381.305246,0.765274,173017.000000,29704.000000
1384.677139,0.771308,172585.000000,29221.000000
1388.044634,0.774494,172273.000000,28955.000000
1391.407730,0.785061,171871.000000,28193.000000
1394.766426,0.786190,171212.000000,28012.000000
1399.237845,0.797592,170477.000000,27169.000000
1402.586276,0.806497,170057.000000,26552.000000
1405.930309,0.814420,169522.000000,25990.000000
1409.269942,0.822199,169040.000000,25456.000000
1412.605176,0.815255,168685.000000,25812.000000
1415.936011,0.815735,168440.000000,25746.000000
1419.262447,0.814153,168277.000000,25815.000000
1422.584484,0.803182,168052.000000,26440.000000
1425.902122,0.801668,168094.000000,26539.000000
1429.215360,0.797483,168176.000000,26809.000000
1432.524199,0.796638,168237.000000,26871.000000
1435.828639,0.790782,168356.000000,27255.000000
1439.128680,0.784602,168675.000000,27698.000000
1442.424322,0.788417,168916.000000,27495.000000
1446.811668,0.781143,169258.000000,28016.000000
1450.097045,0.781066,169379.000000,28041.000000
1453.378023,0.773649,169391.000000,28526.000000
1456.654602,0.773625,169334.000000,28518.000000
