Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 11:34:51,,
Header Version:,1,,
System Temp (C):,36.9,,
Detector Temp (C):,34.6,,
Humidity (%):,33.6,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.508,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.495017,23756.000000,7599.000000
905.500242,0.502880,26065.000000,8188.000000
909.444026,0.511319,28446.000000,8764.000000
913.383411,0.515474,31151.000000,9506.000000
917.318397,0.521633,34594.000000,10408.000000
921.248983,0.517962,38706.000000,11744.000000
925.175171,0.519746,43333.000000,13094.000000
929.096959,0.518174,48106.000000,14589.000000
933.014348,0.519963,52854.000000,15963.000000
936.927338,0.511148,57207.000000,17632.000000
942.137815,0.505687,62583.000000,19533.000000
946.040540,0.504413,66412.000000,20789.000000
949.938866,0.501502,70192.000000,22120.000000
953.832793,0.499443,73953.000000,23416.000000
957.722320,0.490924,77741.000000,25103.000000
961.607449,0.495348,81459.000000,26037.000000
965.488178,0.494234,84970.000000,27229.000000
969.364509,0.492692,88307.000000,28399.000000
973.236440,0.490890,91422.000000,29523.000000
977.103972,0.490771,94242.000000,30442.000000
980.967105,0.494317,96650.000000,30966.000000
984.825838,0.491848,98706.000000,31805.000000
988.680173,0.491455,100691.000000,32474.000000
992.530108,0.496057,102102.000000,32582.000000
997.656512,0.494795,103062.000000,32984.000000
1001.496183,0.496060,103488.000000,33024.000000
1005.331454,0.495109,103668.000000,33154.000000
1009.162327,0.498313,103604.000000,32890.000000
1012.988800,0.497986,103501.000000,32882.000000
1016.810874,0.498702,103473.000000,32819.000000
1020.628549,0.500991,103180.000000,32554.000000
1024.441824,0.501825,102848.000000,32387.000000
1028.250701,0.506037,102542.000000,31979.000000
1032.055178,0.503999,102330.000000,32063.000000
1035.855257,0.503972,102161.000000,32012.000000
1039.650936,0.508692,101990.000000,31613.000000
1043.442216,0.507356,101741.000000,31633.000000
1048.490413,0.508493,101666.000000,31527.000000
1052.271428,0.508873,101700.000000,31510.000000
1056.048044,0.509822,101777.000000,31465.000000
1059.820261,0.512184,101906.000000,31334.000000
1063.588079,0.512509,102259.000000,31419.000000
1067.351497,0.511847,102763.000000,31622.000000
1071.110517,0.512291,103190.000000,31721.000000
1074.865137,0.517583,103645.000000,31475.000000
1078.615358,0.515541,104247.000000,31807.000000
1082.361180,0.516290,104844.000000,31934.000000
1086.102603,0.522332,105404.000000,31661.000000
1089.839627,0.519635,105830.000000,31987.000000
1093.572251,0.523277,106541.000000,31933.000000
1097.300477,0.524982,106997.000000,31944.000000
1102.264601,0.530605,107655.000000,31727.000000
1105.982562,0.535567,108209.000000,31528.000000
1109.696123,0.538443,108541.000000,31416.000000
1113.405285,0.549143,108883.000000,30748.000000
1117.110049,0.558869,109111.000000,30130.000000
1120.810413,0.567685,109449.000000,29616.000000
1124.506378,0.587391,110148.000000,28483.000000
1128.197943,0.608828,110387.000000,27170.000000
1131.885110,0.634068,110542.000000,25672.000000
1135.567878,0.656296,110818.000000,24452.000000
1139.246246,0.672682,111041.000000,23594.000000
1142.920215,0.680707,111319.000000,23220.000000
1146.589785,0.675816,111575.000000,23537.000000
1150.254956,0.662123,112030.000000,24390.000000
1155.135007,0.638350,112594.000000,25892.000000
1158.789913,0.633353,113176.000000,26327.000000
1162.440420,0.630995,113756.000000,26606.000000
1166.086528,0.628599,114495.000000,26927.000000
1169.728237,0.632140,115248.000000,26884.000000
1173.365546,0.634890,116196.000000,26934.000000
1176.998457,0.642297,117260.000000,26721.000000
1180.626968,0.644820,118314.000000,26805.000000
1184.251080,0.651951,119420.000000,26615.000000
1187.870793,0.665439,120660.000000,26069.000000
1191.486107,0.671706,122104.000000,26003.000000
1195.097021,0.677893,123408.000000,25909.000000
1198.703537,0.679500,124879.000000,26121.000000
1203.505381,0.680144,127171.000000,26561.000000
1207.101631,0.676789,128929.000000,27137.000000
1210.693483,0.670294,130624.000000,27908.000000
1214.280935,0.665156,132432.000000,28631.000000
1217.863989,0.655428,134356.000000,29705.000000
1221.442643,0.643141,136434.000000,31030.000000
1225.016898,0.638797,138254.000000,31760.000000
1228.586754,0.630595,140110.000000,32800.000000
1232.152210,0.619747,142307.000000,34157.000000
1235.713268,0.615752,144480.000000,34999.000000
1239.269926,0.611159,146375.000000,35835.000000
1242.822185,0.606659,148395.000000,36708.000000
1246.370045,0.603855,150778.000000,37539.000000
1249.913506,0.602026,153060.000000,38268.000000
1254.631278,0.600187,155918.000000,39148.000000
1258.164474,0.600038,157931.000000,39667.000000
1261.693271,0.600321,160225.000000,40217.000000
1265.217669,0.595944,162531.000000,41209.000000
1268.737667,0.599341,164471.000000,41376.000000
1272.253267,0.598094,166342.000000,41967.000000
1275.764467,0.595087,168611.000000,42835.000000
1279.271269,0.596823,170630.000000,43175.000000
1282.773671,0.597678,172186.000000,43483.000000
1286.271674,0.601537,173503.000000,43428.000000
1289.765277,0.599660,175078.000000,44012.000000
1293.254482,0.601688,176321.000000,44118.000000
1296.739287,0.605372,177150.000000,43951.000000
1300.219694,0.605492,178114.000000,44178.000000
1304.853392,0.608229,179516.000000,44246.000000
1308.323534,0.608473,180112.000000,44368.000000
1311.789276,0.611518,180427.000000,44135.000000
1315.250620,0.613104,180849.000000,44077.000000
1318.707564,0.613731,181295.000000,44122.000000
1322.160109,0.618463,181387.000000,43666.000000
1325.608255,0.621087,181312.000000,43385.000000
1329.052002,0.623284,181274.000000,43157.000000
1332.491349,0.627238,181109.000000,42727.000000
1335.926297,0.630294,180689.000000,42329.000000
1339.356847,0.630902,179848.000000,42073.000000
1342.782997,0.636828,179242.000000,41363.000000
1346.204748,0.640826,178573.000000,40831.000000
1349.622099,0.642354,177890.000000,40532.000000
1354.171725,0.647045,176659.000000,39819.000000
1357.578812,0.651763,175938.000000,39228.000000
1360.981500,0.660601,175417.000000,38324.000000
1364.379789,0.666730,174939.000000,37684.000000
1367.773679,0.675040,174429.000000,36862.000000
1371.163169,0.684597,174092.000000,35990.000000
1374.548260,0.692616,173838.000000,35280.000000
1377.928953,0.701987,173647.000000,34489.000000
1381.305246,0.707710,173017.000000,33914.000000
1384.677139,0.713387,172585.000000,33390.000000
1388.044634,0.718072,172273.000000,32972.000000
1391.407730,0.723533,171871.000000,32484.000000
1394.766426,0.725651,171212.000000,32202.000000
1399.237845,0.732639,170477.000000,31552.000000
1402.586276,0.739639,170057.000000,30971.000000
1405.930309,0.744784,169522.000000,30510.000000
1409.269942,0.748184,169040.000000,30186.000000
1412.605176,0.746739,168685.000000,30223.000000
1415.936011,0.748601,168440.000000,30050.000000
1419.262447,0.747083,168277.000000,30126.000000
1422.584484,0.740504,168052.000000,30545.000000
1425.902122,0.740385,168094.000000,30561.000000
1429.215360,0.738216,168176.000000,30729.000000
1432.524199,0.738175,168237.000000,30743.000000
1435.828639,0.734531,168356.000000,31024.000000
1439.128680,0.731520,168675.000000,31299.000000
1442.424322,0.731600,168916.000000,31338.000000
1446.811668,0.726696,169258.000000,31758.000000
1450.097045,0.724226,169379.000000,31962.000000
1453.378023,0.719715,169391.000000,32298.000000
1456.654602,0.719138,169334.000000,32330.000000
1459.926782,0.717094,169305.000000,32477.000000
1463.194562,0.718766,169126.000000,32318.000000
1466.457943,0.715835,168919.000000,32497.000000
1469.716926,0.715761,168594.000000,32440.000000
1472.971509,0.714766,168234.000000,32445.000000
1476.221692,0.713289,167663.000000,32445.000000
1479.467477,0.714051,167217.000000,32302.000000
1482.708863,0.710405,166625.000000,32459.000000
1485.945849,0.710388,166131.000000,32364.000000
1489.178436,0.710060,165518.000000,32269.000000
1493.481710,0.709700,164484.000000,32094.000000
1496.704032,0.707374,164054.000000,32182.000000
1499.921956,0.706939,163401.000000,32086.000000
1503.135480,0.706719,162290.000000,31884.000000
1506.344605,0.706268,161374.000000,31737.000000
1509.549331,0.706209,160366.000000,31543.000000
1512.749658,0.703484,159378.000000,31546.000000
1515.945585,0.704256,158285.000000,31274.000000
1519.137114,0.704543,157316.000000,31062.000000
1522.324243,0.704997,156147.000000,30799.000000
1525.506973,0.704232,155113.000000,30649.000000
1528.685304,0.704062,154000.000000,30441.000000
1531.859236,0.703470,152588.000000,30203.000000
1535.028769,0.703490,151256.000000,29938.000000
1539.247969,0.702898,149501.000000,29631.000000
1542.407237,0.704792,148026.000000,29211.000000
1545.562106,0.703407,146484.000000,28999.000000
1548.712576,0.702768,144932.000000,28734.000000
1551.858646,0.698597,143312.000000,28687.000000
1555.000318,0.701594,141623.000000,28154.000000
1558.137590,0.704410,139790.000000,27610.000000
1561.270463,0.708592,137958.000000,26987.000000
1564.398937,0.706100,136203.000000,26797.000000
1567.523012,0.709387,134303.000000,26224.000000
1570.642687,0.711707,132340.000000,25703.000000
1573.757964,0.713064,130373.000000,25242.000000
1576.868841,0.716668,128194.000000,24615.000000
1581.009834,0.717294,125453.000000,24054.000000
1584.110447,0.719450,123268.000000,23518.000000
1587.206660,0.719614,121128.000000,23101.000000
1590.298475,0.725819,118983.000000,22370.000000
1593.385890,0.723629,116601.000000,22033.000000
1596.468906,0.725630,114492.000000,21535.000000
1599.547522,0.736265,112247.000000,20602.000000
1602.621740,0.738924,110113.000000,20087.000000
1605.691559,0.741764,107845.000000,19545.000000
1608.756978,0.745767,105764.000000,18992.000000
1611.817998,0.756158,103762.000000,18192.000000
1614.874619,0.763306,101454.000000,17497.000000
1617.926841,0.771902,99141.000000,16763.000000
1620.974664,0.796346,96810.000000,15473.000000
1625.031584,0.828640,93749.000000,13910.000000
1628.069142,0.850131,91480.000000,12918.000000
1631.102301,0.875963,89180.000000,11866.000000
1634.131061,0.895746,86957.000000,11055.000000
1637.155422,0.907172,84664.000000,10484.000000
1640.175383,0.902838,82560.000000,10326.000000
1643.190945,0.902069,80299.000000,10061.000000
1646.202108,0.901748,77863.000000,9763.000000
1649.208872,0.897652,75323.000000,9534.000000
1652.211237,0.902935,72646.000000,9084.000000
1655.209203,0.901988,69695.000000,8734.000000
1658.202769,0.947478,66120.000000,7462.000000
1661.191937,0.978173,61928.000000,6512.000000
1664.176705,1.029563,57108.000000,5335.000000
