Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 23:14:43,,
Header Version:,1,,
System Temp (C):,35.74,,
Detector Temp (C):,33.17,,
Humidity (%):,36.98,,
Lamp PD:,3777,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.094990,23756.000000,19089.000000
905.500242,0.103373,26065.000000,20544.000000
909.444026,0.105074,28446.000000,22333.000000
913.383411,0.109890,31151.000000,24187.000000
917.318397,0.115919,34594.000000,26490.000000
921.248983,0.112587,38706.000000,29867.000000
925.175171,0.116361,43333.000000,33148.000000
929.096959,0.113118,48106.000000,37075.000000
933.014348,0.120888,52854.000000,40012.000000
936.927338,0.114362,57207.000000,43963.000000
942.137815,0.110813,62583.000000,48489.000000
946.040540,0.116460,66412.000000,50791.000000
949.938866,0.111040,70192.000000,54356.000000
953.832793,0.113782,73953.000000,56908.000000
957.722320,0.109347,77741.000000,60437.000000
961.607449,0.110359,81459.000000,63180.000000
965.488178,0.111000,84970.000000,65806.000000
969.364509,0.110780,88307.000000,68425.000000
973.236440,0.109181,91422.000000,71100.000000
977.103972,0.109241,94242.000000,73283.000000
980.967105,0.112411,96650.000000,74609.000000
984.825838,0.111421,98706.000000,76370.000000
988.680173,0.110545,100691.000000,78063.000000
992.530108,0.113811,102102.000000,78564.000000
997.656512,0.113278,103062.000000,79400.000000
1001.496183,0.113721,103488.000000,79647.000000
1005.331454,0.113016,103668.000000,79915.000000
1009.162327,0.113276,103604.000000,79818.000000
1012.988800,0.113187,103501.000000,79755.000000
1016.810874,0.114329,103473.000000,79524.000000
1020.628549,0.112813,103180.000000,79576.000000
1024.441824,0.111425,102848.000000,79574.000000
1028.250701,0.115579,102542.000000,78582.000000
1032.055178,0.112244,102330.000000,79024.000000
1035.855257,0.110714,102161.000000,79172.000000
1039.650936,0.113909,101990.000000,78460.000000
1043.442216,0.112040,101741.000000,78606.000000
1048.490413,0.112345,101666.000000,78493.000000
1052.271428,0.112922,101700.000000,78415.000000
1056.048044,0.110688,101777.000000,78879.000000
1059.820261,0.110919,101906.000000,78937.000000
1063.588079,0.109110,102259.000000,79541.000000
1067.351497,0.109638,102763.000000,79836.000000
1071.110517,0.106124,103190.000000,80819.000000
1074.865137,0.111206,103645.000000,80231.000000
1078.615358,0.107135,104247.000000,81457.000000
1082.361180,0.104558,104844.000000,82411.000000
1086.102603,0.107700,105404.000000,82254.000000
1089.839627,0.104068,105830.000000,83280.000000
1093.572251,0.104148,106541.000000,83824.000000
1097.300477,0.102993,106997.000000,84407.000000
1102.264601,0.103224,107655.000000,84881.000000
1105.982562,0.104701,108209.000000,85028.000000
1109.696123,0.103623,108541.000000,85501.000000
1113.405285,0.103539,108883.000000,85787.000000
1117.110049,0.105009,109111.000000,85676.000000
1120.810413,0.103569,109449.000000,86227.000000
1124.506378,0.105749,110148.000000,86343.000000
1128.197943,0.105049,110387.000000,86670.000000
1131.885110,0.104863,110542.000000,86829.000000
1135.567878,0.103546,110818.000000,87310.000000
1139.246246,0.103029,111041.000000,87590.000000
1142.920215,0.102294,111319.000000,87958.000000
1146.589785,0.101159,111575.000000,88391.000000
1150.254956,0.103777,112030.000000,88218.000000
1155.135007,0.103014,112594.000000,88818.000000
1158.789913,0.103779,113176.000000,89120.000000
1162.440420,0.105644,113756.000000,89193.000000
1166.086528,0.105481,114495.000000,89806.000000
1169.728237,0.106793,115248.000000,90124.000000
1173.365546,0.106575,116196.000000,90911.000000
1176.998457,0.111351,117260.000000,90740.000000
1180.626968,0.108220,118314.000000,92218.000000
1184.251080,0.108188,119420.000000,93087.000000
1187.870793,0.111817,120660.000000,93271.000000
1191.486107,0.111427,122104.000000,94472.000000
1195.097021,0.111149,123408.000000,95542.000000
1198.703537,0.111171,124879.000000,96676.000000
1203.505381,0.112246,127171.000000,98207.000000
1207.101631,0.112541,128929.000000,99497.000000
1210.693483,0.112205,130624.000000,100883.000000
1214.280935,0.113529,132432.000000,101968.000000
1217.863989,0.114161,134356.000000,103299.000000
1221.442643,0.112309,136434.000000,105345.000000
1225.016898,0.112314,138254.000000,106749.000000
1228.586754,0.112314,140110.000000,108182.000000
1232.152210,0.110714,142307.000000,110284.000000
1235.713268,0.109223,144480.000000,112353.000000
1239.269926,0.108402,146375.000000,114042.000000
1242.822185,0.108262,148395.000000,115653.000000
1246.370045,0.106769,150778.000000,117915.000000
1249.913506,0.106394,153060.000000,119803.000000
1254.631278,0.106138,155918.000000,122112.000000
1258.164474,0.106846,157931.000000,123487.000000
1261.693271,0.108210,160225.000000,124888.000000
1265.217669,0.105988,162531.000000,127335.000000
1268.737667,0.106615,164471.000000,128669.000000
1272.253267,0.106942,166342.000000,130035.000000
1275.764467,0.105569,168611.000000,132226.000000
1279.271269,0.104371,170630.000000,134179.000000
1282.773671,0.102063,172186.000000,136124.000000
1286.271674,0.104130,173503.000000,136514.000000
1289.765277,0.101211,175078.000000,138682.000000
1293.254482,0.100471,176321.000000,139905.000000
1296.739287,0.103188,177150.000000,139686.000000
1300.219694,0.100879,178114.000000,141195.000000
