Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 22:56:21,,
Header Version:,1,,
System Temp (C):,32.74,,
Detector Temp (C):,29.51,,
Humidity (%):,46.74,,
Lamp PD:,3777,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.461,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.265453,23756.000000,12892.000000
905.500242,0.254181,26065.000000,14517.000000
909.444026,0.257596,28446.000000,15719.000000
913.383411,0.262181,31151.000000,17033.000000
917.318397,0.272275,34594.000000,18481.000000
921.248983,0.270175,38706.000000,20778.000000
925.175171,0.265215,43333.000000,23529.000000
929.096959,0.270798,48106.000000,25787.000000
933.014348,0.263610,52854.000000,28805.000000
936.927338,0.263880,57207.000000,31158.000000
942.137815,0.263167,62583.000000,34142.000000
946.040540,0.257403,66412.000000,36715.000000
949.938866,0.255992,70192.000000,38931.000000
953.832793,0.253090,73953.000000,41292.000000
957.722320,0.255861,77741.000000,43131.000000
961.607449,0.251365,81459.000000,45664.000000
965.488178,0.254102,84970.000000,47333.000000
969.364509,0.251873,88307.000000,49445.000000
973.236440,0.249792,91422.000000,51435.000000
977.103972,0.248276,94242.000000,53207.000000
980.967105,0.243609,96650.000000,55156.000000
984.825838,0.249394,98706.000000,55584.000000
988.680173,0.245671,100691.000000,57190.000000
992.530108,0.243552,102102.000000,58275.000000
997.656512,0.244128,103062.000000,58745.000000
1001.496183,0.245114,103488.000000,58854.000000
1005.331454,0.243705,103668.000000,59148.000000
1009.162327,0.241517,103604.000000,59410.000000
1012.988800,0.242483,103501.000000,59219.000000
1016.810874,0.241516,103473.000000,59335.000000
1020.628549,0.240914,103180.000000,59249.000000
1024.441824,0.242900,102848.000000,58789.000000
1028.250701,0.238925,102542.000000,59153.000000
1032.055178,0.240744,102330.000000,58784.000000
1035.855257,0.240211,102161.000000,58759.000000
1039.650936,0.236919,101990.000000,59107.000000
