Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 20:50:14,,
Header Version:,1,,
System Temp (C):,33.68,,
Detector Temp (C):,30.74,,
Humidity (%):,46.28,,
Lamp PD:,3777,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.506,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.271218,23756.000000,12722.000000
905.500242,0.278577,26065.000000,13724.000000
909.444026,0.276139,28446.000000,15062.000000
913.383411,0.282004,31151.000000,16273.000000
917.318397,0.286075,34594.000000,17903.000000
921.248983,0.284950,38706.000000,20083.000000
925.175171,0.283306,43333.000000,22569.000000
929.096959,0.283357,48106.000000,25052.000000
933.014348,0.282893,52854.000000,27554.000000
936.927338,0.278868,57207.000000,30101.000000
942.137815,0.274417,62583.000000,33269.000000
946.040540,0.272545,66412.000000,35457.000000
949.938866,0.269233,70192.000000,37762.000000
953.832793,0.267635,73953.000000,39932.000000
957.722320,0.264412,77741.000000,42290.000000
961.607449,0.263908,81459.000000,44364.000000
965.488178,0.262673,84970.000000,46408.000000
969.364509,0.262183,88307.000000,48285.000000
973.236440,0.258396,91422.000000,50426.000000
977.103972,0.258651,94242.000000,51951.000000
980.967105,0.256937,96650.000000,53489.000000
984.825838,0.257278,98706.000000,54584.000000
988.680173,0.255742,100691.000000,55879.000000
992.530108,0.255857,102102.000000,56647.000000
997.656512,0.255118,103062.000000,57277.000000
1001.496183,0.254528,103488.000000,57592.000000
1005.331454,0.253897,103668.000000,57776.000000
1009.162327,0.253426,103604.000000,57803.000000
1012.988800,0.252476,103501.000000,57872.000000
1016.810874,0.252771,103473.000000,57817.000000
1020.628549,0.252917,103180.000000,57634.000000
1024.441824,0.253882,102848.000000,57321.000000
1028.250701,0.253696,102542.000000,57175.000000
1032.055178,0.253352,102330.000000,57102.000000
1035.855257,0.252915,102161.000000,57065.000000
1039.650936,0.253293,101990.000000,56920.000000
1043.442216,0.253087,101741.000000,56808.000000
1048.490413,0.253907,101666.000000,56659.000000
1052.271428,0.253309,101700.000000,56756.000000
1056.048044,0.253332,101777.000000,56796.000000
1059.820261,0.254027,101906.000000,56777.000000
1063.588079,0.253850,102259.000000,56997.000000
1067.351497,0.254145,102763.000000,57239.000000
1071.110517,0.253170,103190.000000,57606.000000
1074.865137,0.254418,103645.000000,57694.000000
1078.615358,0.253805,104247.000000,58111.000000
1082.361180,0.253521,104844.000000,58482.000000
1086.102603,0.254426,105404.000000,58672.000000
1089.839627,0.252419,105830.000000,59182.000000
1093.572251,0.253562,106541.000000,59423.000000
1097.300477,0.253863,106997.000000,59636.000000
1102.264601,0.254651,107655.000000,59894.000000
1105.982562,0.255533,108209.000000,60080.000000
1109.696123,0.255377,108541.000000,60286.000000
1113.405285,0.257248,108883.000000,60216.000000
1117.110049,0.258113,109111.000000,60222.000000
1120.810413,0.257528,109449.000000,60490.000000
1124.506378,0.259755,110148.000000,60565.000000
1128.197943,0.260553,110387.000000,60585.000000
1131.885110,0.261901,110542.000000,60482.000000
1135.567878,0.262088,110818.000000,60607.000000
1139.246246,0.262431,111041.000000,60681.000000
1142.920215,0.263846,111319.000000,60635.000000
1146.589785,0.264214,111575.000000,60723.000000
1150.254956,0.265781,112030.000000,60751.000000
1155.135007,0.268348,112594.000000,60697.000000
1158.789913,0.270666,113176.000000,60686.000000
1162.440420,0.272886,113756.000000,60686.000000
1166.086528,0.274962,114495.000000,60789.000000
1169.728237,0.277623,115248.000000,60815.000000
1173.365546,0.281138,116196.000000,60821.000000
1176.998457,0.284461,117260.000000,60910.000000
1180.626968,0.286618,118314.000000,61153.000000
1184.251080,0.289687,119420.000000,61290.000000
1187.870793,0.294230,120660.000000,61282.000000
1191.486107,0.297678,122104.000000,61525.000000
1195.097021,0.298686,123408.000000,62038.000000
1198.703537,0.300047,124879.000000,62581.000000
1203.505381,0.300262,127171.000000,63698.000000
1207.101631,0.297745,128929.000000,64954.000000
1210.693483,0.294994,130624.000000,66226.000000
1214.280935,0.292297,132432.000000,67561.000000
1217.863989,0.287023,134356.000000,69380.000000
1221.442643,0.282565,136434.000000,71180.000000
1225.016898,0.280190,138254.000000,72525.000000
1228.586754,0.277519,140110.000000,73952.000000
1232.152210,0.274291,142307.000000,75672.000000
1235.713268,0.272911,144480.000000,77072.000000
1239.269926,0.271400,146375.000000,78355.000000
1242.822185,0.268802,148395.000000,79913.000000
1246.370045,0.267820,150778.000000,81380.000000
1249.913506,0.266396,153060.000000,82883.000000
1254.631278,0.265849,155918.000000,84537.000000
1258.164474,0.265989,157931.000000,85601.000000
1261.693271,0.266211,160225.000000,86800.000000
1265.217669,0.265428,162531.000000,88208.000000
1268.737667,0.266070,164471.000000,89129.000000
1272.253267,0.264809,166342.000000,90405.000000
1275.764467,0.263968,168611.000000,91816.000000
1279.271269,0.263619,170630.000000,92990.000000
1282.773671,0.262611,172186.000000,94056.000000
1286.271674,0.261862,173503.000000,94939.000000
1289.765277,0.261055,175078.000000,95979.000000
1293.254482,0.261655,176321.000000,96527.000000
1296.739287,0.261955,177150.000000,96914.000000
1300.219694,0.261693,178114.000000,97500.000000
1304.853392,0.262952,179516.000000,97983.000000
1308.323534,0.262782,180112.000000,98347.000000
1311.789276,0.263355,180427.000000,98389.000000
1315.250620,0.262392,180849.000000,98838.000000
1318.707564,0.262207,181295.000000,99124.000000
1322.160109,0.263103,181387.000000,98970.000000
1325.608255,0.263200,181312.000000,98907.000000
1329.052002,0.263113,181274.000000,98906.000000
1332.491349,0.263530,181109.000000,98721.000000
1335.926297,0.263716,180689.000000,98450.000000
1339.356847,0.264629,179848.000000,97786.000000
1342.782997,0.265626,179242.000000,97233.000000
1346.204748,0.267270,178573.000000,96504.000000
1349.622099,0.267695,177890.000000,96041.000000
1354.171725,0.270135,176659.000000,94842.000000
1357.578812,0.271982,175938.000000,94054.000000
1360.981500,0.273609,175417.000000,93425.000000
1364.379789,0.275180,174939.000000,92834.000000
1367.773679,0.277053,174429.000000,92165.000000
1371.163169,0.280094,174092.000000,91345.000000
1374.548260,0.282432,173838.000000,90722.000000
1377.928953,0.286657,173647.000000,89745.000000
1381.305246,0.289568,173017.000000,88822.000000
1384.677139,0.292002,172585.000000,88105.000000
1388.044634,0.293668,172273.000000,87609.000000
1391.407730,0.294851,171871.000000,87167.000000
1394.766426,0.294664,171212.000000,86870.000000
1399.237845,0.296698,170477.000000,86093.000000
1402.586276,0.297862,170057.000000,85651.000000
1405.930309,0.298593,169522.000000,85238.000000
1409.269942,0.299686,169040.000000,84782.000000
1412.605176,0.301017,168685.000000,84345.000000
1415.936011,0.301515,168440.000000,84126.000000
1419.262447,0.301477,168277.000000,84052.000000
1422.584484,0.301014,168052.000000,84029.000000
1425.902122,0.300699,168094.000000,84111.000000
1429.215360,0.300870,168176.000000,84119.000000
1432.524199,0.300419,168237.000000,84237.000000
1435.828639,0.299125,168356.000000,84548.000000
1439.128680,0.298307,168675.000000,84868.000000
1442.424322,0.297537,168916.000000,85140.000000
1446.811668,0.296649,169258.000000,85487.000000
1450.097045,0.296132,169379.000000,85650.000000
1453.378023,0.295054,169391.000000,85869.000000
1456.654602,0.295703,169334.000000,85712.000000
1459.926782,0.295314,169305.000000,85774.000000
1463.194562,0.294799,169126.000000,85785.000000
1466.457943,0.294647,168919.000000,85710.000000
1469.716926,0.294891,168594.000000,85497.000000
1472.971509,0.296102,168234.000000,85077.000000
1476.221692,0.296723,167663.000000,84667.000000
1479.467477,0.299394,167217.000000,83924.000000
1482.708863,0.299695,166625.000000,83569.000000
1485.945849,0.299253,166131.000000,83406.000000
1489.178436,0.300013,165518.000000,82953.000000
1493.481710,0.301352,164484.000000,82181.000000
1496.704032,0.302728,164054.000000,81707.000000
1499.921956,0.303918,163401.000000,81159.000000
1503.135480,0.305879,162290.000000,80244.000000
1506.344605,0.307603,161374.000000,79475.000000
1509.549331,0.309430,160366.000000,78647.000000
1512.749658,0.309839,159378.000000,78089.000000
1515.945585,0.310267,158285.000000,77477.000000
1519.137114,0.311785,157316.000000,76734.000000
1522.324243,0.312446,156147.000000,76048.000000
1525.506973,0.314061,155113.000000,75264.000000
1528.685304,0.315819,154000.000000,74422.000000
1531.859236,0.318286,152588.000000,73322.000000
1535.028769,0.318250,151256.000000,72688.000000
