Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 23:51:44,,
Header Version:,1,,
System Temp (C):,33.06,,
Detector Temp (C):,29.83,,
Humidity (%):,51.26,,
Lamp PD:,3778,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.501,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.127236,23756.000000,17723.000000
905.500242,0.142732,26065.000000,18764.000000
909.444026,0.140702,28446.000000,20574.000000
913.383411,0.148687,31151.000000,22120.000000
917.318397,0.146620,34594.000000,24682.000000
921.248983,0.148461,38706.000000,27499.000000
925.175171,0.151481,43333.000000,30573.000000
929.096959,0.151756,48106.000000,33919.000000
933.014348,0.149997,52854.000000,37418.000000
936.927338,0.149351,57207.000000,40560.000000
942.137815,0.145993,62583.000000,44716.000000
946.040540,0.144020,66412.000000,47668.000000
949.938866,0.142910,70192.000000,50510.000000
953.832793,0.138812,73953.000000,53721.000000
957.722320,0.139032,77741.000000,56444.000000
961.607449,0.143093,81459.000000,58593.000000
965.488178,0.141975,84970.000000,61276.000000
969.364509,0.142251,88307.000000,63642.000000
973.236440,0.140042,91422.000000,66223.000000
977.103972,0.144144,94242.000000,67624.000000
980.967105,0.141210,96650.000000,69822.000000
984.825838,0.142248,98706.000000,71137.000000
988.680173,0.145206,100691.000000,72075.000000
992.530108,0.143107,102102.000000,73439.000000
997.656512,0.144772,103062.000000,73846.000000
1001.496183,0.142874,103488.000000,74476.000000
1005.331454,0.143652,103668.000000,74472.000000
1009.162327,0.145816,103604.000000,74056.000000
1012.988800,0.141705,103501.000000,74686.000000
1016.810874,0.143447,103473.000000,74367.000000
1020.628549,0.145998,103180.000000,73722.000000
1024.441824,0.147305,102848.000000,73264.000000
1028.250701,0.145596,102542.000000,73334.000000
1032.055178,0.146543,102330.000000,73023.000000
1035.855257,0.147828,102161.000000,72687.000000
1039.650936,0.146253,101990.000000,72829.000000
1043.442216,0.147272,101741.000000,72481.000000
1048.490413,0.144955,101666.000000,72815.000000
1052.271428,0.144856,101700.000000,72856.000000
1056.048044,0.143976,101777.000000,73059.000000
1059.820261,0.145234,101906.000000,72940.000000
1063.588079,0.144343,102259.000000,73343.000000
1067.351497,0.144481,102763.000000,73681.000000
1071.110517,0.144089,103190.000000,74054.000000
1074.865137,0.142687,103645.000000,74621.000000
1078.615358,0.141136,104247.000000,75323.000000
1082.361180,0.141672,104844.000000,75661.000000
1086.102603,0.139832,105404.000000,76388.000000
