Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 9:0:42,,
Header Version:,1,,
System Temp (C):,32.45,,
Detector Temp (C):,28.41,,
Humidity (%):,50.24,,
Lamp PD:,3777,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.514,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.496448,23756.000000,7574.000000
905.500242,0.501556,26065.000000,8213.000000
909.444026,0.504729,28446.000000,8898.000000
913.383411,0.505270,31151.000000,9732.000000
917.318397,0.505979,34594.000000,10790.000000
921.248983,0.507116,38706.000000,12041.000000
925.175171,0.506968,43333.000000,13485.000000
929.096959,0.507616,48106.000000,14948.000000
933.014348,0.505120,52854.000000,16518.000000
936.927338,0.505276,57207.000000,17872.000000
942.137815,0.502387,62583.000000,19682.000000
946.040540,0.502329,66412.000000,20889.000000
949.938866,0.500816,70192.000000,22155.000000
953.832793,0.501320,73953.000000,23315.000000
957.722320,0.501236,77741.000000,24514.000000
961.607449,0.501953,81459.000000,25644.000000
965.488178,0.502575,84970.000000,26711.000000
969.364509,0.503030,88307.000000,27731.000000
973.236440,0.501251,91422.000000,28827.000000
977.103972,0.502659,94242.000000,29620.000000
980.967105,0.503573,96650.000000,30313.000000
984.825838,0.505469,98706.000000,30823.000000
988.680173,0.505867,100691.000000,31414.000000
992.530108,0.508290,102102.000000,31677.000000
997.656512,0.510317,103062.000000,31826.000000
1001.496183,0.511876,103488.000000,31843.000000
1005.331454,0.513040,103668.000000,31813.000000
1009.162327,0.513934,103604.000000,31728.000000
1012.988800,0.515477,103501.000000,31584.000000
1016.810874,0.516668,103473.000000,31489.000000
1020.628549,0.518259,103180.000000,31285.000000
1024.441824,0.518891,102848.000000,31139.000000
1028.250701,0.518812,102542.000000,31052.000000
1032.055178,0.519539,102330.000000,30936.000000
1035.855257,0.519622,102161.000000,30879.000000
1039.650936,0.521249,101990.000000,30712.000000
1043.442216,0.522897,101741.000000,30521.000000
1048.490413,0.524960,101666.000000,30354.000000
1052.271428,0.524933,101700.000000,30366.000000
1056.048044,0.525920,101777.000000,30320.000000
1059.820261,0.527116,101906.000000,30275.000000
1063.588079,0.529034,102259.000000,30246.000000
1067.351497,0.530380,102763.000000,30301.000000
1071.110517,0.530478,103190.000000,30420.000000
1074.865137,0.532361,103645.000000,30422.000000
1078.615358,0.534476,104247.000000,30450.000000
1082.361180,0.535476,104844.000000,30554.000000
1086.102603,0.537817,105404.000000,30552.000000
1089.839627,0.539313,105830.000000,30570.000000
1093.572251,0.544029,106541.000000,30443.000000
1097.300477,0.546955,106997.000000,30368.000000
1102.264601,0.555362,107655.000000,29969.000000
1105.982562,0.564927,108209.000000,29467.000000
1109.696123,0.575825,108541.000000,28825.000000
1113.405285,0.591527,108883.000000,27889.000000
1117.110049,0.608601,109111.000000,26870.000000
1120.810413,0.628249,109449.000000,25761.000000
1124.506378,0.645969,110148.000000,24889.000000
1128.197943,0.655635,110387.000000,24394.000000
1131.885110,0.655177,110542.000000,24454.000000
1135.567878,0.644210,110818.000000,25142.000000
1139.246246,0.635618,111041.000000,25696.000000
1142.920215,0.627457,111319.000000,26249.000000
1146.589785,0.623143,111575.000000,26572.000000
1150.254956,0.625466,112030.000000,26538.000000
1155.135007,0.633828,112594.000000,26163.000000
1158.789913,0.640656,113176.000000,25888.000000
1162.440420,0.648379,113756.000000,25562.000000
1166.086528,0.657403,114495.000000,25199.000000
1169.728237,0.665539,115248.000000,24894.000000
1173.365546,0.670459,116196.000000,24816.000000
1176.998457,0.676330,117260.000000,24707.000000
1180.626968,0.676593,118314.000000,24914.000000
1184.251080,0.674712,119420.000000,25256.000000
1187.870793,0.669456,120660.000000,25829.000000
1191.486107,0.660495,122104.000000,26683.000000
1195.097021,0.647783,123408.000000,27769.000000
1198.703537,0.638486,124879.000000,28708.000000
1203.505381,0.627832,127171.000000,29961.000000
1207.101631,0.621941,128929.000000,30790.000000
1210.693483,0.617892,130624.000000,31487.000000
1214.280935,0.616395,132432.000000,32033.000000
1217.863989,0.614267,134356.000000,32658.000000
