Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 8:59:29,,
Header Version:,1,,
System Temp (C):,31.52,,
Detector Temp (C):,27.64,,
Humidity (%):,52.51,,
Lamp PD:,3781,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.517,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.301872,23756.000000,11855.000000
905.500242,0.297628,26065.000000,13135.000000
909.444026,0.297866,28446.000000,14327.000000
913.383411,0.294705,31151.000000,15804.000000
917.318397,0.300503,34594.000000,17318.000000
921.248983,0.300380,38706.000000,19382.000000
925.175171,0.300259,43333.000000,21705.000000
929.096959,0.298977,48106.000000,24167.000000
933.014348,0.297739,52854.000000,26628.000000
936.927338,0.296386,57207.000000,28911.000000
942.137815,0.294795,62583.000000,31744.000000
946.040540,0.292816,66412.000000,33840.000000
949.938866,0.290794,70192.000000,35933.000000
953.832793,0.291912,73953.000000,37761.000000
957.722320,0.292516,77741.000000,39640.000000
961.607449,0.292075,81459.000000,41578.000000
965.488178,0.292116,84970.000000,43366.000000
969.364509,0.293130,88307.000000,44964.000000
973.236440,0.294243,91422.000000,46431.000000
977.103972,0.292560,94242.000000,48049.000000
980.967105,0.291246,96650.000000,49426.000000
984.825838,0.296940,98706.000000,49820.000000
988.680173,0.294247,100691.000000,51138.000000
992.530108,0.294001,102102.000000,51884.000000
997.656512,0.295961,103062.000000,52136.000000
1001.496183,0.297761,103488.000000,52135.000000
1005.331454,0.299015,103668.000000,52075.000000
1009.162327,0.297631,103604.000000,52209.000000
1012.988800,0.299618,103501.000000,51919.000000
1016.810874,0.301698,103473.000000,51657.000000
1020.628549,0.302954,103180.000000,51362.000000
1024.441824,0.302892,102848.000000,51204.000000
1028.250701,0.302668,102542.000000,51078.000000
1032.055178,0.305955,102330.000000,50588.000000
1035.855257,0.303362,102161.000000,50807.000000
1039.650936,0.303867,101990.000000,50663.000000
1043.442216,0.303826,101741.000000,50544.000000
1048.490413,0.306213,101666.000000,50230.000000
1052.271428,0.307223,101700.000000,50130.000000
1056.048044,0.308324,101777.000000,50041.000000
1059.820261,0.309273,101906.000000,49995.000000
1063.588079,0.310011,102259.000000,50083.000000
1067.351497,0.313667,102763.000000,49908.000000
1071.110517,0.311448,103190.000000,50372.000000
1074.865137,0.313652,103645.000000,50338.000000
1078.615358,0.317706,104247.000000,50160.000000
1082.361180,0.316719,104844.000000,50562.000000
1086.102603,0.317584,105404.000000,50731.000000
1089.839627,0.319678,105830.000000,50691.000000
1093.572251,0.323693,106541.000000,50562.000000
1097.300477,0.326872,106997.000000,50408.000000
1102.264601,0.331504,107655.000000,50180.000000
1105.982562,0.342236,108209.000000,49207.000000
1109.696123,0.353729,108541.000000,48069.000000
1113.405285,0.365963,108883.000000,46881.000000
1117.110049,0.384396,109111.000000,45027.000000
1120.810413,0.403356,109449.000000,43237.000000
1124.506378,0.420115,110148.000000,41866.000000
1128.197943,0.428474,110387.000000,41157.000000
1131.885110,0.428904,110542.000000,41174.000000
1135.567878,0.420019,110818.000000,42130.000000
1139.246246,0.409307,111041.000000,43269.000000
1142.920215,0.401865,111319.000000,44127.000000
1146.589785,0.396590,111575.000000,44769.000000
1150.254956,0.400038,112030.000000,44596.000000
1155.135007,0.407688,112594.000000,44038.000000
1158.789913,0.414537,113176.000000,43573.000000
1162.440420,0.421749,113756.000000,43075.000000
1166.086528,0.429662,114495.000000,42572.000000
1169.728237,0.436506,115248.000000,42182.000000
1173.365546,0.442428,116196.000000,41953.000000
1176.998457,0.446822,117260.000000,41911.000000
1180.626968,0.450170,118314.000000,41963.000000
1184.251080,0.445359,119420.000000,42827.000000
1187.870793,0.439218,120660.000000,43888.000000
1191.486107,0.432390,122104.000000,45117.000000
1195.097021,0.419236,123408.000000,47001.000000
1198.703537,0.409880,124879.000000,48597.000000
1203.505381,0.400830,127171.000000,50531.000000
1207.101631,0.393888,128929.000000,52055.000000
1210.693483,0.389720,130624.000000,53248.000000
1214.280935,0.387217,132432.000000,54297.000000
1217.863989,0.385501,134356.000000,55304.000000
1221.442643,0.384908,136434.000000,56236.000000
1225.016898,0.381789,138254.000000,57397.000000
1228.586754,0.383273,140110.000000,57969.000000
1232.152210,0.383325,142307.000000,58871.000000
1235.713268,0.382120,144480.000000,59936.000000
1239.269926,0.382464,146375.000000,60674.000000
1242.822185,0.382015,148395.000000,61575.000000
1246.370045,0.382959,150778.000000,62428.000000
1249.913506,0.382855,153060.000000,63388.000000
1254.631278,0.384361,155918.000000,64348.000000
1258.164474,0.384600,157931.000000,65143.000000
1261.693271,0.386076,160225.000000,65865.000000
1265.217669,0.387032,162531.000000,66666.000000
1268.737667,0.386728,164471.000000,67509.000000
1272.253267,0.388002,166342.000000,68077.000000
1275.764467,0.389980,168611.000000,68692.000000
1279.271269,0.392458,170630.000000,69119.000000
1282.773671,0.391744,172186.000000,69864.000000
1286.271674,0.393026,173503.000000,70191.000000
1289.765277,0.395418,175078.000000,70439.000000
1293.254482,0.396173,176321.000000,70816.000000
1296.739287,0.398130,177150.000000,70829.000000
1300.219694,0.400272,178114.000000,70864.000000
1304.853392,0.405108,179516.000000,70631.000000
1308.323534,0.407914,180112.000000,70409.000000
1311.789276,0.409791,180427.000000,70228.000000
1315.250620,0.412541,180849.000000,69948.000000
1318.707564,0.415876,181295.000000,69584.000000
1322.160109,0.419644,181387.000000,69018.000000
1325.608255,0.423186,181312.000000,68429.000000
1329.052002,0.426491,181274.000000,67896.000000
1332.491349,0.427730,181109.000000,67641.000000
1335.926297,0.433197,180689.000000,66640.000000
1339.356847,0.441672,179848.000000,65048.000000
1342.782997,0.450625,179242.000000,63506.000000
1346.204748,0.462785,178573.000000,61522.000000
1349.622099,0.475007,177890.000000,59586.000000
1354.171725,0.495772,176659.000000,56411.000000
1357.578812,0.505740,175938.000000,54906.000000
1360.981500,0.514899,175417.000000,53601.000000
1364.379789,0.522173,174939.000000,52567.000000
1367.773679,0.526962,174429.000000,51839.000000
1371.163169,0.531976,174092.000000,51145.000000
1374.548260,0.533803,173838.000000,50856.000000
