Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 9:5:38,,
Header Version:,1,,
System Temp (C):,34.2,,
Detector Temp (C):,30.52,,
Humidity (%):,44.45,,
Lamp PD:,3776,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.452,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.673170,23756.000000,5042.000000
905.500242,0.677039,26065.000000,5483.000000
909.444026,0.668905,28446.000000,6097.000000
913.383411,0.673402,31151.000000,6608.000000
917.318397,0.677945,34594.000000,7262.000000
921.248983,0.679401,38706.000000,8098.000000
925.175171,0.677825,43333.000000,9099.000000
929.096959,0.671942,48106.000000,10239.000000
933.014348,0.671501,52854.000000,11261.000000
936.927338,0.667438,57207.000000,12303.000000
942.137815,0.660815,62583.000000,13666.000000
946.040540,0.658429,66412.000000,14582.000000
949.938866,0.653553,70192.000000,15586.000000
953.832793,0.651709,73953.000000,16491.000000
957.722320,0.649702,77741.000000,17416.000000
961.607449,0.646712,81459.000000,18375.000000
965.488178,0.644474,84970.000000,19266.000000
969.364509,0.643794,88307.000000,20054.000000
973.236440,0.640821,91422.000000,20904.000000
977.103972,0.639952,94242.000000,21592.000000
980.967105,0.636391,96650.000000,22326.000000
984.825838,0.638318,98706.000000,22700.000000
988.680173,0.636923,100691.000000,23231.000000
992.530108,0.634671,102102.000000,23679.000000
997.656512,0.634083,103062.000000,23934.000000
1001.496183,0.634986,103488.000000,23983.000000
1005.331454,0.635524,103668.000000,23995.000000
1009.162327,0.633864,103604.000000,24072.000000
1012.988800,0.632675,103501.000000,24114.000000
1016.810874,0.633929,103473.000000,24038.000000
1020.628549,0.633946,103180.000000,23969.000000
1024.441824,0.632709,102848.000000,23960.000000
1028.250701,0.632068,102542.000000,23924.000000
1032.055178,0.632369,102330.000000,23858.000000
1035.855257,0.631051,102161.000000,23891.000000
1039.650936,0.631470,101990.000000,23828.000000
1043.442216,0.630463,101741.000000,23825.000000
1048.490413,0.629523,101666.000000,23859.000000
1052.271428,0.629960,101700.000000,23843.000000
1056.048044,0.629652,101777.000000,23878.000000
1059.820261,0.629548,101906.000000,23914.000000
1063.588079,0.628695,102259.000000,24044.000000
1067.351497,0.630541,102763.000000,24060.000000
1071.110517,0.628532,103190.000000,24272.000000
1074.865137,0.630282,103645.000000,24281.000000
1078.615358,0.630959,104247.000000,24384.000000
1082.361180,0.630669,104844.000000,24540.000000
1086.102603,0.631604,105404.000000,24618.000000
1089.839627,0.631104,105830.000000,24746.000000
1093.572251,0.633415,106541.000000,24780.000000
1097.300477,0.635989,106997.000000,24739.000000
1102.264601,0.641117,107655.000000,24599.000000
1105.982562,0.647800,108209.000000,24348.000000
1109.696123,0.658087,108541.000000,23851.000000
1113.405285,0.668803,108883.000000,23343.000000
1117.110049,0.684029,109111.000000,22586.000000
1120.810413,0.701573,109449.000000,21759.000000
1124.506378,0.716810,110148.000000,21143.000000
1128.197943,0.723167,110387.000000,20881.000000
1131.885110,0.722592,110542.000000,20938.000000
1135.567878,0.712475,110818.000000,21485.000000
1139.246246,0.700110,111041.000000,22150.000000
1142.920215,0.692307,111319.000000,22608.000000
1146.589785,0.686500,111575.000000,22965.000000
1150.254956,0.688855,112030.000000,22934.000000
1155.135007,0.696543,112594.000000,22645.000000
1158.789913,0.702422,113176.000000,22456.000000
1162.440420,0.709719,113756.000000,22195.000000
1166.086528,0.716581,114495.000000,21989.000000
1169.728237,0.724134,115248.000000,21752.000000
1173.365546,0.729834,116196.000000,21645.000000
1176.998457,0.735521,117260.000000,21559.000000
1180.626968,0.737679,118314.000000,21645.000000
1184.251080,0.739079,119420.000000,21777.000000
1187.870793,0.739694,120660.000000,21972.000000
1191.486107,0.739830,122104.000000,22228.000000
1195.097021,0.737139,123408.000000,22605.000000
1198.703537,0.735196,124879.000000,22977.000000
1203.505381,0.733080,127171.000000,23513.000000
1207.101631,0.728352,128929.000000,24099.000000
1210.693483,0.723590,130624.000000,24685.000000
1214.280935,0.720007,132432.000000,25234.000000
1217.863989,0.712483,134356.000000,26048.000000
1221.442643,0.707355,136434.000000,26765.000000
1225.016898,0.700588,138254.000000,27548.000000
1228.586754,0.693717,140110.000000,28363.000000
1232.152210,0.689139,142307.000000,29113.000000
1235.713268,0.684122,144480.000000,29901.000000
1239.269926,0.680029,146375.000000,30580.000000
1242.822185,0.675861,148395.000000,31301.000000
1246.370045,0.673541,150778.000000,31974.000000
1249.913506,0.671471,153060.000000,32613.000000
1254.631278,0.669761,155918.000000,33353.000000
1258.164474,0.668473,157931.000000,33884.000000
1261.693271,0.668172,160225.000000,34400.000000
1265.217669,0.667663,162531.000000,34936.000000
1268.737667,0.666265,164471.000000,35467.000000
1272.253267,0.665484,166342.000000,35935.000000
1275.764467,0.666465,168611.000000,36343.000000
1279.271269,0.665759,170630.000000,36838.000000
1282.773671,0.665443,172186.000000,37201.000000
1286.271674,0.665565,173503.000000,37475.000000
1289.765277,0.665694,175078.000000,37804.000000
1293.254482,0.665824,176321.000000,38061.000000
1296.739287,0.667120,177150.000000,38126.000000
1300.219694,0.667499,178114.000000,38300.000000
1304.853392,0.670927,179516.000000,38298.000000
1308.323534,0.672673,180112.000000,38271.000000
1311.789276,0.673920,180427.000000,38228.000000
1315.250620,0.675094,180849.000000,38214.000000
1318.707564,0.677541,181295.000000,38093.000000
1322.160109,0.679269,181387.000000,37961.000000
1325.608255,0.681130,181312.000000,37783.000000
1329.052002,0.683517,181274.000000,37568.000000
1332.491349,0.685312,181109.000000,37379.000000
1335.926297,0.688108,180689.000000,37053.000000
1339.356847,0.693613,179848.000000,36416.000000
1342.782997,0.699302,179242.000000,35821.000000
1346.204748,0.707810,178573.000000,34995.000000
1349.622099,0.715770,177890.000000,34228.000000
1354.171725,0.729887,176659.000000,32904.000000
1357.578812,0.739464,175938.000000,32055.000000
1360.981500,0.746368,175417.000000,31456.000000
1364.379789,0.753800,174939.000000,30838.000000
1367.773679,0.757974,174429.000000,30454.000000
1371.163169,0.763223,174092.000000,30030.000000
1374.548260,0.765914,173838.000000,29801.000000
1377.928953,0.771985,173647.000000,29355.000000
1381.305246,0.776515,173017.000000,28945.000000
1384.677139,0.781580,172585.000000,28538.000000
1388.044634,0.785168,172273.000000,28252.000000
1391.407730,0.787440,171871.000000,28039.000000
1394.766426,0.790976,171212.000000,27705.000000
1399.237845,0.797992,170477.000000,27144.000000
1402.586276,0.804165,170057.000000,26695.000000
1405.930309,0.808050,169522.000000,26374.000000
1409.269942,0.811699,169040.000000,26079.000000
1412.605176,0.813173,168685.000000,25936.000000
1415.936011,0.812124,168440.000000,25961.000000
1419.262447,0.811018,168277.000000,26002.000000
1422.584484,0.807723,168052.000000,26165.000000
1425.902122,0.802847,168094.000000,26467.000000
1429.215360,0.796982,168176.000000,26840.000000
1432.524199,0.792488,168237.000000,27129.000000
1435.828639,0.786233,168356.000000,27542.000000
1439.128680,0.780871,168675.000000,27937.000000
1442.424322,0.775716,168916.000000,28311.000000
1446.811668,0.769957,169258.000000,28747.000000
1450.097045,0.767121,169379.000000,28956.000000
1453.378023,0.764028,169391.000000,29165.000000
1456.654602,0.762633,169334.000000,29249.000000
1459.926782,0.759260,169305.000000,29472.000000
1463.194562,0.754884,169126.000000,29739.000000
1466.457943,0.751891,168919.000000,29908.000000
1469.716926,0.746260,168594.000000,30240.000000
1472.971509,0.742740,168234.000000,30421.000000
1476.221692,0.738489,167663.000000,30616.000000
1479.467477,0.736227,167217.000000,30694.000000
1482.708863,0.733161,166625.000000,30802.000000
1485.945849,0.729383,166131.000000,30979.000000
1489.178436,0.727932,165518.000000,30968.000000
1493.481710,0.725575,164484.000000,30942.000000
1496.704032,0.725295,164054.000000,30881.000000
1499.921956,0.723535,163401.000000,30883.000000
1503.135480,0.721812,162290.000000,30795.000000
1506.344605,0.719494,161374.000000,30785.000000
1509.549331,0.718328,160366.000000,30675.000000
1512.749658,0.716608,159378.000000,30607.000000
1515.945585,0.714613,158285.000000,30537.000000
1519.137114,0.713072,157316.000000,30458.000000
1522.324243,0.712593,156147.000000,30265.000000
1525.506973,0.712168,155113.000000,30094.000000
1528.685304,0.712024,154000.000000,29888.000000
1531.859236,0.713154,152588.000000,29537.000000
1535.028769,0.713720,151256.000000,29241.000000
1539.247969,0.713191,149501.000000,28937.000000
1542.407237,0.713229,148026.000000,28649.000000
1545.562106,0.711281,146484.000000,28478.000000
1548.712576,0.712334,144932.000000,28108.000000
1551.858646,0.712738,143312.000000,27768.000000
1555.000318,0.714224,141623.000000,27347.000000
1558.137590,0.715595,139790.000000,26908.000000
1561.270463,0.713366,137958.000000,26692.000000
1564.398937,0.712583,136203.000000,26400.000000
1567.523012,0.712328,134303.000000,26047.000000
1570.642687,0.713502,132340.000000,25597.000000
1573.757964,0.715445,130373.000000,25104.000000
1576.868841,0.717657,128194.000000,24559.000000
1581.009834,0.719212,125453.000000,23948.000000
1584.110447,0.721839,123268.000000,23389.000000
1587.206660,0.722443,121128.000000,22951.000000
1590.298475,0.722801,118983.000000,22526.000000
1593.385890,0.726199,116601.000000,21903.000000
1596.468906,0.729438,114492.000000,21347.000000
1599.547522,0.730881,112247.000000,20859.000000
1602.621740,0.739291,110113.000000,20070.000000
1605.691559,0.744037,107845.000000,19443.000000
1608.756978,0.754965,105764.000000,18594.000000
1611.817998,0.768016,103762.000000,17702.000000
1614.874619,0.778562,101454.000000,16893.000000
1617.926841,0.787114,99141.000000,16186.000000
1620.974664,0.790463,96810.000000,15684.000000
1625.031584,0.799335,93749.000000,14881.000000
1628.069142,0.811738,91480.000000,14112.000000
1631.102301,0.833228,89180.000000,13093.000000
1634.131061,0.857489,86957.000000,12073.000000
1637.155422,0.894436,84664.000000,10796.000000
1640.175383,0.944012,82560.000000,9392.000000
1643.190945,1.001892,80299.000000,7995.000000
1646.202108,1.049409,77863.000000,6949.000000
1649.208872,1.096322,75323.000000,6034.000000
1652.211237,1.142378,72646.000000,5234.000000
1655.209203,1.177621,69695.000000,4630.000000
1658.202769,1.209886,66120.000000,4078.000000
1661.191937,1.205075,61928.000000,3862.000000
1664.176705,1.190613,57108.000000,3682.000000
1668.149553,1.114233,49420.000000,3799.000000
1671.124056,1.051788,43252.000000,3839.000000
1674.094160,1.002790,37007.000000,3677.000000
1677.059866,0.958894,31448.000000,3457.000000
1680.021172,0.926602,26509.000000,3139.000000
1682.978078,0.914566,22318.000000,2717.000000
1685.930586,0.902746,18913.000000,2366.000000
1688.878695,0.892271,16215.000000,2078.000000
1691.822404,0.873104,13947.000000,1868.000000
1694.761714,0.895954,12072.000000,1534.000000
1697.696625,0.859875,10552.000000,1457.000000
1700.627137,0.877207,9233.000000,1225.000000
