Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 11:19:15,,
Header Version:,1,,
System Temp (C):,34.87,,
Detector Temp (C):,32.39,,
Humidity (%):,38.59,,
Lamp PD:,3775,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.469,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.439914,23756.000000,8627.000000
905.500242,0.442284,26065.000000,9414.000000
909.444026,0.439879,28446.000000,10331.000000
913.383411,0.441394,31151.000000,11274.000000
917.318397,0.443413,34594.000000,12462.000000
921.248983,0.446172,38706.000000,13855.000000
925.175171,0.445759,43333.000000,15526.000000
929.096959,0.446141,48106.000000,17221.000000
933.014348,0.442226,52854.000000,19092.000000
936.927338,0.441248,57207.000000,20711.000000
942.137815,0.437399,62583.000000,22859.000000
946.040540,0.435605,66412.000000,24358.000000
949.938866,0.433995,70192.000000,25840.000000
953.832793,0.431998,73953.000000,27350.000000
957.722320,0.430941,77741.000000,28821.000000
961.607449,0.431666,81459.000000,30149.000000
965.488178,0.430211,84970.000000,31554.000000
969.364509,0.429896,88307.000000,32817.000000
973.236440,0.427711,91422.000000,34146.000000
977.103972,0.429693,94242.000000,35039.000000
980.967105,0.429370,96650.000000,35961.000000
984.825838,0.430922,98706.000000,36595.000000
988.680173,0.431736,100691.000000,37261.000000
992.530108,0.432566,102102.000000,37711.000000
997.656512,0.434184,103062.000000,37924.000000
1001.496183,0.435084,103488.000000,38002.000000
1005.331454,0.435690,103668.000000,38015.000000
1009.162327,0.435422,103604.000000,38015.000000
1012.988800,0.435321,103501.000000,37986.000000
1016.810874,0.435078,103473.000000,37997.000000
1020.628549,0.435277,103180.000000,37872.000000
1024.441824,0.436212,102848.000000,37669.000000
1028.250701,0.435264,102542.000000,37639.000000
1032.055178,0.436134,102330.000000,37486.000000
1035.855257,0.437099,102161.000000,37341.000000
1039.650936,0.437338,101990.000000,37258.000000
1043.442216,0.437771,101741.000000,37130.000000
1048.490413,0.439479,101666.000000,36957.000000
1052.271428,0.439107,101700.000000,37001.000000
1056.048044,0.440012,101777.000000,36952.000000
1059.820261,0.440162,101906.000000,36986.000000
1063.588079,0.439988,102259.000000,37129.000000
1067.351497,0.441422,102763.000000,37189.000000
1071.110517,0.441487,103190.000000,37338.000000
1074.865137,0.442642,103645.000000,37403.000000
1078.615358,0.443708,104247.000000,37528.000000
1082.361180,0.445056,104844.000000,37626.000000
1086.102603,0.445894,105404.000000,37754.000000
1089.839627,0.445775,105830.000000,37917.000000
1093.572251,0.448030,106541.000000,37974.000000
1097.300477,0.449348,106997.000000,38021.000000
1102.264601,0.451680,107655.000000,38050.000000
1105.982562,0.454880,108209.000000,37965.000000
1109.696123,0.457643,108541.000000,37840.000000
1113.405285,0.462003,108883.000000,37580.000000
1117.110049,0.465717,109111.000000,37338.000000
1120.810413,0.471891,109449.000000,36925.000000
1124.506378,0.481412,110148.000000,36355.000000
1128.197943,0.490384,110387.000000,35689.000000
1131.885110,0.500627,110542.000000,34906.000000
1135.567878,0.507484,110818.000000,34445.000000
1139.246246,0.513341,111041.000000,34052.000000
1142.920215,0.519184,111319.000000,33681.000000
1146.589785,0.527044,111575.000000,33153.000000
1150.254956,0.538428,112030.000000,32427.000000
1155.135007,0.559496,112594.000000,31047.000000
1158.789913,0.573992,113176.000000,30183.000000
1162.440420,0.586889,113756.000000,29450.000000
1166.086528,0.598280,114495.000000,28874.000000
1169.728237,0.605799,115248.000000,28565.000000
1173.365546,0.604925,116196.000000,28858.000000
1176.998457,0.595575,117260.000000,29756.000000
1180.626968,0.577006,118314.000000,31335.000000
1184.251080,0.560767,119420.000000,32833.000000
1187.870793,0.548033,120660.000000,34161.000000
1191.486107,0.540730,122104.000000,35156.000000
1195.097021,0.534932,123408.000000,36009.000000
1198.703537,0.532842,124879.000000,36614.000000
1203.505381,0.530010,127171.000000,37530.000000
1207.101631,0.525499,128929.000000,38446.000000
1210.693483,0.521874,130624.000000,39278.000000
1214.280935,0.519282,132432.000000,40060.000000
1217.863989,0.513592,134356.000000,41178.000000
1221.442643,0.510259,136434.000000,42137.000000
1225.016898,0.506664,138254.000000,43054.000000
1228.586754,0.503639,140110.000000,43937.000000
1232.152210,0.500516,142307.000000,44948.000000
1235.713268,0.498639,144480.000000,45832.000000
1239.269926,0.497454,146375.000000,46560.000000
1242.822185,0.493958,148395.000000,47584.000000
1246.370045,0.493888,150778.000000,48356.000000
1249.913506,0.493568,153060.000000,49124.000000
1254.631278,0.492981,155918.000000,50109.000000
1258.164474,0.493399,157931.000000,50707.000000
1261.693271,0.493041,160225.000000,51486.000000
1265.217669,0.493257,162531.000000,52201.000000
1268.737667,0.494188,164471.000000,52711.000000
1272.253267,0.493266,166342.000000,53424.000000
1275.764467,0.494693,168611.000000,53975.000000
1279.271269,0.494449,170630.000000,54652.000000
1282.773671,0.495114,172186.000000,55066.000000
1286.271674,0.494889,173503.000000,55516.000000
1289.765277,0.495346,175078.000000,55961.000000
1293.254482,0.496838,176321.000000,56165.000000
1296.739287,0.498134,177150.000000,56261.000000
1300.219694,0.499088,178114.000000,56443.000000
1304.853392,0.501824,179516.000000,56530.000000
1308.323534,0.503410,180112.000000,56511.000000
1311.789276,0.505253,180427.000000,56370.000000
1315.250620,0.505760,180849.000000,56436.000000
1318.707564,0.508202,181295.000000,56258.000000
1322.160109,0.511225,181387.000000,55896.000000
1325.608255,0.513938,181312.000000,55525.000000
1329.052002,0.518502,181274.000000,54933.000000
1332.491349,0.525385,181109.000000,54020.000000
1335.926297,0.536202,180689.000000,52569.000000
1339.356847,0.552716,179848.000000,50372.000000
1342.782997,0.571421,179242.000000,48086.000000
1346.204748,0.586789,178573.000000,46241.000000
1349.622099,0.596216,177890.000000,45075.000000
1354.171725,0.605008,176659.000000,43866.000000
1357.578812,0.611942,175938.000000,42995.000000
1360.981500,0.621868,175417.000000,41899.000000
1364.379789,0.633474,174939.000000,40683.000000
1367.773679,0.641234,174429.000000,39846.000000
1371.163169,0.645294,174092.000000,39399.000000
1374.548260,0.645465,173838.000000,39326.000000
1377.928953,0.649316,173647.000000,38936.000000
1381.305246,0.652357,173017.000000,38524.000000
1384.677139,0.656842,172585.000000,38033.000000
1388.044634,0.662615,172273.000000,37463.000000
1391.407730,0.663995,171871.000000,37257.000000
1394.766426,0.659932,171212.000000,37463.000000
1399.237845,0.655809,170477.000000,37658.000000
1402.586276,0.653540,170057.000000,37762.000000
1405.930309,0.654015,169522.000000,37602.000000
1409.269942,0.652190,169040.000000,37653.000000
1412.605176,0.648094,168685.000000,37930.000000
1415.936011,0.642544,168440.000000,38362.000000
1419.262447,0.634994,168277.000000,38997.000000
1422.584484,0.628517,168052.000000,39530.000000
1425.902122,0.622538,168094.000000,40088.000000
1429.215360,0.618481,168176.000000,40484.000000
1432.524199,0.616776,168237.000000,40658.000000
1435.828639,0.616005,168356.000000,40759.000000
1439.128680,0.616923,168675.000000,40750.000000
1442.424322,0.616394,168916.000000,40858.000000
1446.811668,0.614243,169258.000000,41144.000000
1450.097045,0.611618,169379.000000,41423.000000
1453.378023,0.608151,169391.000000,41758.000000
1456.654602,0.606986,169334.000000,41856.000000
1459.926782,0.604501,169305.000000,42089.000000
1463.194562,0.600722,169126.000000,42412.000000
1466.457943,0.596824,168919.000000,42742.000000
1469.716926,0.591097,168594.000000,43226.000000
1472.971509,0.587205,168234.000000,43522.000000
1476.221692,0.583092,167663.000000,43787.000000
1479.467477,0.581103,167217.000000,43871.000000
1482.708863,0.578130,166625.000000,44016.000000
1485.945849,0.575107,166131.000000,44192.000000
1489.178436,0.573285,165518.000000,44214.000000
1493.481710,0.570407,164484.000000,44230.000000
1496.704032,0.569388,164054.000000,44218.000000
1499.921956,0.566596,163401.000000,44326.000000
1503.135480,0.564869,162290.000000,44200.000000
1506.344605,0.562913,161374.000000,44149.000000
1509.549331,0.563182,160366.000000,43846.000000
1512.749658,0.562932,159378.000000,43601.000000
1515.945585,0.563494,158285.000000,43246.000000
1519.137114,0.564741,157316.000000,42858.000000
1522.324243,0.565635,156147.000000,42452.000000
1525.506973,0.566996,155113.000000,42039.000000
1528.685304,0.566313,154000.000000,41803.000000
1531.859236,0.566971,152588.000000,41357.000000
1535.028769,0.567883,151256.000000,40910.000000
1539.247969,0.568381,149501.000000,40389.000000
1542.407237,0.567269,148026.000000,40093.000000
1545.562106,0.566890,146484.000000,39710.000000
1548.712576,0.566716,144932.000000,39305.000000
1551.858646,0.566400,143312.000000,38894.000000
1555.000318,0.567346,141623.000000,38352.000000
1558.137590,0.568410,139790.000000,37763.000000
1561.270463,0.566748,137958.000000,37411.000000
1564.398937,0.567702,136203.000000,36854.000000
1567.523012,0.566817,134303.000000,36414.000000
1570.642687,0.567881,132340.000000,35794.000000
1573.757964,0.570264,130373.000000,35069.000000
1576.868841,0.570918,128194.000000,34431.000000
1581.009834,0.572193,125453.000000,33596.000000
1584.110447,0.574990,123268.000000,32799.000000
1587.206660,0.576158,121128.000000,32143.000000
1590.298475,0.577947,118983.000000,31444.000000
1593.385890,0.580711,116601.000000,30619.000000
1596.468906,0.584661,114492.000000,29793.000000
1599.547522,0.589668,112247.000000,28874.000000
1602.621740,0.596702,110113.000000,27870.000000
1605.691559,0.600681,107845.000000,27047.000000
1608.756978,0.606202,105764.000000,26190.000000
1611.817998,0.610999,103762.000000,25412.000000
1614.874619,0.611030,101454.000000,24845.000000
1617.926841,0.613013,99141.000000,24168.000000
1620.974664,0.615019,96810.000000,23491.000000
1625.031584,0.616209,93749.000000,22686.000000
1628.069142,0.618351,91480.000000,22028.000000
1631.102301,0.627346,89180.000000,21034.000000
1634.131061,0.630932,86957.000000,20341.000000
1637.155422,0.636241,84664.000000,19564.000000
1640.175383,0.635941,82560.000000,19091.000000
1643.190945,0.638032,80299.000000,18479.000000
1646.202108,0.641644,77863.000000,17770.000000
1649.208872,0.645585,75323.000000,17035.000000
1652.211237,0.657553,72646.000000,15983.000000
1655.209203,0.677987,69695.000000,14629.000000
1658.202769,0.706757,66120.000000,12989.000000
1661.191937,0.740310,61928.000000,11261.000000
1664.176705,0.774833,57108.000000,9591.000000
1668.149553,0.807525,49420.000000,7698.000000
1671.124056,0.814427,43252.000000,6631.000000
1674.094160,0.809750,37007.000000,5735.000000
1677.059866,0.796716,31448.000000,5022.000000
1680.021172,0.797156,26509.000000,4229.000000
1682.978078,0.789347,22318.000000,3625.000000
1685.930586,0.783721,18913.000000,3112.000000
1688.878695,0.742013,16215.000000,2937.000000
1691.822404,0.714406,13947.000000,2692.000000
1694.761714,0.715170,12072.000000,2326.000000
1697.696625,0.717339,10552.000000,2023.000000
1700.627137,0.711037,9233.000000,1796.000000
