Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 11:12:45,,
Header Version:,1,,
System Temp (C):,34.27,,
Detector Temp (C):,31.91,,
Humidity (%):,39.88,,
Lamp PD:,3778,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.461,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.450461,23756.000000,8420.000000
905.500242,0.446455,26065.000000,9324.000000
909.444026,0.442197,28446.000000,10276.000000
913.383411,0.442899,31151.000000,11235.000000
917.318397,0.448778,34594.000000,12309.000000
921.248983,0.451565,38706.000000,13684.000000
925.175171,0.452980,43333.000000,15270.000000
929.096959,0.451546,48106.000000,17008.000000
933.014348,0.448781,52854.000000,18806.000000
936.927338,0.447415,57207.000000,20419.000000
942.137815,0.442790,62583.000000,22577.000000
946.040540,0.441439,66412.000000,24033.000000
949.938866,0.436726,70192.000000,25678.000000
953.832793,0.437174,73953.000000,27026.000000
957.722320,0.435577,77741.000000,28515.000000
961.607449,0.435065,81459.000000,29914.000000
965.488178,0.434485,84970.000000,31245.000000
969.364509,0.435356,88307.000000,32407.000000
973.236440,0.435967,91422.000000,33503.000000
977.103972,0.435445,94242.000000,34578.000000
980.967105,0.433520,96650.000000,35619.000000
984.825838,0.438717,98706.000000,35944.000000
988.680173,0.437875,100691.000000,36738.000000
992.530108,0.437419,102102.000000,37292.000000
997.656512,0.439357,103062.000000,37475.000000
1001.496183,0.440477,103488.000000,37533.000000
1005.331454,0.440931,103668.000000,37559.000000
