Method:,Hadamard 1,,
Host Date-Time:,5/6/26 @ 11:19:47,,
Header Version:,1,,
System Temp (C):,35.09,,
Detector Temp (C):,32.25,,
Humidity (%):,38.12,,
Lamp PD:,3775,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.516,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.205776,23756.000000,14791.000000
905.500242,0.208154,26065.000000,16140.000000
909.444026,0.206908,28446.000000,17665.000000
913.383411,0.210555,31151.000000,19183.000000
917.318397,0.213136,34594.000000,21177.000000
921.248983,0.213397,38706.000000,23680.000000
925.175171,0.211333,43333.000000,26637.000000
929.096959,0.211098,48106.000000,29587.000000
933.014348,0.209780,52854.000000,32606.000000
936.927338,0.205036,57207.000000,35679.000000
942.137815,0.202351,62583.000000,39274.000000
946.040540,0.199898,66412.000000,41913.000000
949.938866,0.196797,70192.000000,44616.000000
953.832793,0.194775,73953.000000,47226.000000
957.722320,0.191142,77741.000000,50062.000000
961.607449,0.190863,81459.000000,52490.000000
965.488178,0.188706,84970.000000,55025.000000
969.364509,0.188493,88307.000000,57214.000000
973.236440,0.184851,91422.000000,59731.000000
977.103972,0.185313,94242.000000,61508.000000
980.967105,0.183222,96650.000000,63384.000000
984.825838,0.184885,98706.000000,64485.000000
988.680173,0.184033,100691.000000,65911.000000
992.530108,0.183446,102102.000000,66925.000000
997.656512,0.184284,103062.000000,67424.000000
1001.496183,0.184455,103488.000000,67676.000000
1005.331454,0.183896,103668.000000,67881.000000
1009.162327,0.183532,103604.000000,67896.000000
1012.988800,0.181899,103501.000000,68084.000000
1016.810874,0.181444,103473.000000,68137.000000
1020.628549,0.181048,103180.000000,68006.000000
1024.441824,0.181813,102848.000000,67668.000000
1028.250701,0.181309,102542.000000,67545.000000
1032.055178,0.180699,102330.000000,67500.000000
1035.855257,0.180426,102161.000000,67431.000000
1039.650936,0.180388,101990.000000,67324.000000
1043.442216,0.180586,101741.000000,67129.000000
1048.490413,0.181049,101666.000000,67008.000000
1052.271428,0.180275,101700.000000,67150.000000
1056.048044,0.179906,101777.000000,67258.000000
1059.820261,0.180262,101906.000000,67288.000000
1063.588079,0.180874,102259.000000,67426.000000
1067.351497,0.181107,102763.000000,67722.000000
1071.110517,0.181007,103190.000000,68019.000000
1074.865137,0.182044,103645.000000,68156.000000
1078.615358,0.181790,104247.000000,68592.000000
1082.361180,0.181783,104844.000000,68986.000000
1086.102603,0.182688,105404.000000,69210.000000
1089.839627,0.181569,105830.000000,69669.000000
1093.572251,0.183332,106541.000000,69853.000000
1097.300477,0.184509,106997.000000,69962.000000
1102.264601,0.186434,107655.000000,70081.000000
1105.982562,0.188434,108209.000000,70118.000000
1109.696123,0.190229,108541.000000,70043.000000
1113.405285,0.193671,108883.000000,69709.000000
1117.110049,0.196572,109111.000000,69390.000000
1120.810413,0.200174,109449.000000,69030.000000
1124.506378,0.207219,110148.000000,68353.000000
1128.197943,0.213183,110387.000000,67567.000000
1131.885110,0.219916,110542.000000,66621.000000
1135.567878,0.222625,110818.000000,66372.000000
1139.246246,0.225532,111041.000000,66062.000000
1142.920215,0.229798,111319.000000,65580.000000
1146.589785,0.233772,111575.000000,65132.000000
1150.254956,0.241333,112030.000000,64269.000000
1155.135007,0.254899,112594.000000,62606.000000
1158.789913,0.264555,113176.000000,61546.000000
1162.440420,0.273444,113756.000000,60608.000000
