Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 23:12:47,,
Header Version:,1,,
System Temp (C):,35.19,,
Detector Temp (C):,33.38,,
Humidity (%):,38.04,,
Lamp PD:,3777,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.452,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.102425,23756.000000,18765.000000
905.500242,0.102929,26065.000000,20565.000000
909.444026,0.102186,28446.000000,22482.000000
913.383411,0.106064,31151.000000,24401.000000
917.318397,0.113776,34594.000000,26621.000000
921.248983,0.114686,38706.000000,29723.000000
925.175171,0.115275,43333.000000,33231.000000
929.096959,0.116104,48106.000000,36821.000000
933.014348,0.115923,52854.000000,40472.000000
936.927338,0.115658,57207.000000,43832.000000
942.137815,0.113734,62583.000000,48164.000000
946.040540,0.112349,66412.000000,51274.000000
949.938866,0.109612,70192.000000,54535.000000
953.832793,0.111211,73953.000000,57246.000000
957.722320,0.110895,77741.000000,60222.000000
961.607449,0.110641,81459.000000,63139.000000
965.488178,0.111225,84970.000000,65772.000000
969.364509,0.112644,88307.000000,68132.000000
973.236440,0.112652,91422.000000,70534.000000
977.103972,0.110993,94242.000000,72988.000000
980.967105,0.109510,96650.000000,75109.000000
984.825838,0.114818,98706.000000,75775.000000
988.680173,0.112441,100691.000000,77723.000000
992.530108,0.111501,102102.000000,78983.000000
997.656512,0.112071,103062.000000,79621.000000
1001.496183,0.112669,103488.000000,79840.000000
1005.331454,0.112826,103668.000000,79950.000000
1009.162327,0.111625,103604.000000,80122.000000
1012.988800,0.111838,103501.000000,80003.000000
1016.810874,0.112302,103473.000000,79896.000000
1020.628549,0.113578,103180.000000,79436.000000
1024.441824,0.113438,102848.000000,79206.000000
1028.250701,0.112193,102542.000000,79197.000000
1032.055178,0.114083,102330.000000,78690.000000
1035.855257,0.112478,102161.000000,78851.000000
1039.650936,0.111260,101990.000000,78940.000000
1043.442216,0.110441,101741.000000,78896.000000
1048.490413,0.111643,101666.000000,78620.000000
1052.271428,0.110514,101700.000000,78851.000000
1056.048044,0.110815,101777.000000,78856.000000
1059.820261,0.109902,101906.000000,79122.000000
1063.588079,0.109400,102259.000000,79488.000000
1067.351497,0.111349,102763.000000,79522.000000
1071.110517,0.108419,103190.000000,80393.000000
1074.865137,0.107841,103645.000000,80855.000000
1078.615358,0.109418,104247.000000,81030.000000
1082.361180,0.106687,104844.000000,82008.000000
1086.102603,0.106108,105404.000000,82556.000000
1089.839627,0.104334,105830.000000,83229.000000
1093.572251,0.105300,106541.000000,83602.000000
1097.300477,0.106065,106997.000000,83812.000000
1102.264601,0.104571,107655.000000,84618.000000
1105.982562,0.107695,108209.000000,84444.000000
1109.696123,0.110225,108541.000000,84211.000000
1113.405285,0.112350,108883.000000,84064.000000
1117.110049,0.117557,109111.000000,83236.000000
1120.810413,0.121806,109449.000000,82681.000000
1124.506378,0.127644,110148.000000,82098.000000
1128.197943,0.128136,110387.000000,82183.000000
1131.885110,0.126863,110542.000000,82540.000000
1135.567878,0.121791,110818.000000,83718.000000
1139.246246,0.116601,111041.000000,84895.000000
1142.920215,0.113664,111319.000000,85685.000000
1146.589785,0.109062,111575.000000,86797.000000
1150.254956,0.109635,112030.000000,87036.000000
1155.135007,0.110839,112594.000000,87232.000000
1158.789913,0.111344,113176.000000,87581.000000
1162.440420,0.111887,113756.000000,87920.000000
1166.086528,0.112688,114495.000000,88328.000000
1169.728237,0.113842,115248.000000,88673.000000
1173.365546,0.113053,116196.000000,89565.000000
1176.998457,0.112132,117260.000000,90577.000000
1180.626968,0.110714,118314.000000,91690.000000
1184.251080,0.106898,119420.000000,93364.000000
1187.870793,0.104480,120660.000000,94860.000000
1191.486107,0.103117,122104.000000,96297.000000
1195.097021,0.100144,123408.000000,97994.000000
1198.703537,0.098789,124879.000000,99472.000000
1203.505381,0.098209,127171.000000,101433.000000
1207.101631,0.096246,128929.000000,103301.000000
1210.693483,0.096209,130624.000000,104668.000000
1214.280935,0.095374,132432.000000,106321.000000
1217.863989,0.095071,134356.000000,107941.000000
1221.442643,0.094605,136434.000000,109728.000000
1225.016898,0.093543,138254.000000,111464.000000
1228.586754,0.094083,140110.000000,112820.000000
1232.152210,0.093716,142307.000000,114686.000000
1235.713268,0.092897,144480.000000,116657.000000
1239.269926,0.093647,146375.000000,117983.000000
1242.822185,0.092466,148395.000000,119937.000000
1246.370045,0.093183,150778.000000,121662.000000
1249.913506,0.092710,153060.000000,123638.000000
1254.631278,0.093402,155918.000000,125746.000000
1258.164474,0.093053,157931.000000,127472.000000
1261.693271,0.093673,160225.000000,129139.000000
1265.217669,0.093436,162531.000000,131069.000000
1268.737667,0.092685,164471.000000,132863.000000
1272.253267,0.092606,166342.000000,134399.000000
1275.764467,0.092916,168611.000000,136135.000000
1279.271269,0.094337,170630.000000,137315.000000
1282.773671,0.093249,172186.000000,138915.000000
1286.271674,0.092571,173503.000000,140196.000000
1289.765277,0.093071,175078.000000,141306.000000
1293.254482,0.093246,176321.000000,142252.000000
1296.739287,0.093303,177150.000000,142902.000000
1300.219694,0.093305,178114.000000,143679.000000
1304.853392,0.094981,179516.000000,144252.000000
1308.323534,0.095305,180112.000000,144623.000000
1311.789276,0.095263,180427.000000,144890.000000
1315.250620,0.095089,180849.000000,145287.000000
1318.707564,0.095505,181295.000000,145506.000000
1322.160109,0.096215,181387.000000,145342.000000
1325.608255,0.096475,181312.000000,145195.000000
1329.052002,0.096752,181274.000000,145072.000000
1332.491349,0.095875,181109.000000,145233.000000
1335.926297,0.097286,180689.000000,144426.000000
1339.356847,0.099111,179848.000000,143151.000000
1342.782997,0.101237,179242.000000,141972.000000
1346.204748,0.103605,178573.000000,140673.000000
1349.622099,0.105730,177890.000000,139451.000000
1354.171725,0.110675,176659.000000,136918.000000
1357.578812,0.111364,175938.000000,136143.000000
1360.981500,0.112126,175417.000000,135502.000000
1364.379789,0.112386,174939.000000,135052.000000
1367.773679,0.111455,174429.000000,134947.000000
1371.163169,0.112460,174092.000000,134375.000000
1374.548260,0.112098,173838.000000,134291.000000
1377.928953,0.113942,173647.000000,133575.000000
1381.305246,0.114498,173017.000000,132920.000000
1384.677139,0.115535,172585.000000,132272.000000
1388.044634,0.115495,172273.000000,132045.000000
1391.407730,0.116739,171871.000000,131360.000000
1394.766426,0.117372,171212.000000,130666.000000
1399.237845,0.120003,170477.000000,129319.000000
1402.586276,0.121303,170057.000000,128615.000000
1405.930309,0.122712,169522.000000,127795.000000
1409.269942,0.124145,169040.000000,127012.000000
1412.605176,0.125357,168685.000000,126392.000000
1415.936011,0.125296,168440.000000,126226.000000
1419.262447,0.124611,168277.000000,126303.000000
1422.584484,0.123250,168052.000000,126530.000000
1425.902122,0.121161,168094.000000,127172.000000
1429.215360,0.119689,168176.000000,127666.000000
1432.524199,0.117786,168237.000000,128273.000000
1435.828639,0.116576,168356.000000,128722.000000
1439.128680,0.114171,168675.000000,129682.000000
1442.424322,0.112223,168916.000000,130451.000000
1446.811668,0.110562,169258.000000,131216.000000
1450.097045,0.110099,169379.000000,131450.000000
1453.378023,0.108655,169391.000000,131897.000000
1456.654602,0.109914,169334.000000,131471.000000
1459.926782,0.108020,169305.000000,132023.000000
1463.194562,0.106411,169126.000000,132373.000000
1466.457943,0.106378,168919.000000,132221.000000
1469.716926,0.104751,168594.000000,132462.000000
1472.971509,0.104111,168234.000000,132374.000000
1476.221692,0.102779,167663.000000,132330.000000
1479.467477,0.103019,167217.000000,131905.000000
1482.708863,0.101983,166625.000000,131752.000000
1485.945849,0.100535,166131.000000,131800.000000
1489.178436,0.099946,165518.000000,131492.000000
1493.481710,0.100034,164484.000000,130644.000000
1496.704032,0.101726,164054.000000,129796.000000
1499.921956,0.100703,163401.000000,129584.000000
1503.135480,0.100872,162290.000000,128653.000000
1506.344605,0.099069,161374.000000,128459.000000
1509.549331,0.099711,160366.000000,127468.000000
1512.749658,0.099237,159378.000000,126821.000000
1515.945585,0.099121,158285.000000,125985.000000
1519.137114,0.099415,157316.000000,125129.000000
1522.324243,0.098762,156147.000000,124386.000000
1525.506973,0.098848,155113.000000,123538.000000
1528.685304,0.098804,154000.000000,122664.000000
1531.859236,0.099212,152588.000000,121425.000000
1535.028769,0.098816,151256.000000,120475.000000
1539.247969,0.098619,149501.000000,119131.000000
1542.407237,0.098360,148026.000000,118026.000000
1545.562106,0.096903,146484.000000,117189.000000
1548.712576,0.097396,144932.000000,115816.000000
1551.858646,0.097363,143312.000000,114530.000000
1555.000318,0.099904,141623.000000,112520.000000
1558.137590,0.099067,139790.000000,111278.000000
1561.270463,0.098722,137958.000000,109907.000000
1564.398937,0.098017,136203.000000,108685.000000
1567.523012,0.098102,134303.000000,107148.000000
1570.642687,0.099271,132340.000000,105298.000000
1573.757964,0.100823,130373.000000,103363.000000
1576.868841,0.101543,128194.000000,101467.000000
1581.009834,0.102320,125453.000000,99120.000000
1584.110447,0.105442,123268.000000,96696.000000
1587.206660,0.104507,121128.000000,95222.000000
1590.298475,0.105054,118983.000000,93418.000000
1593.385890,0.108358,116601.000000,90854.000000
1596.468906,0.106802,114492.000000,89531.000000
1599.547522,0.107121,112247.000000,87711.000000
1602.621740,0.110839,110113.000000,85310.000000
1605.691559,0.111290,107845.000000,83466.000000
1608.756978,0.114536,105764.000000,81246.000000
1611.817998,0.116940,103762.000000,79268.000000
1614.874619,0.119745,101454.000000,77006.000000
1617.926841,0.122869,99141.000000,74711.000000
1620.974664,0.124990,96810.000000,72599.000000
1625.031584,0.128946,93749.000000,69666.000000
1628.069142,0.133143,91480.000000,67326.000000
1631.102301,0.140156,89180.000000,64582.000000
1634.131061,0.145626,86957.000000,62184.000000
1637.155422,0.158684,84664.000000,58751.000000
1640.175383,0.175319,82560.000000,55138.000000
1643.190945,0.191665,80299.000000,51647.000000
1646.202108,0.208203,77863.000000,48209.000000
1649.208872,0.223320,75323.000000,45041.000000
1652.211237,0.242421,72646.000000,41571.000000
1655.209203,0.254605,69695.000000,38779.000000
1658.202769,0.265783,66120.000000,35855.000000
1661.191937,0.255973,61928.000000,34349.000000
1664.176705,0.235742,57108.000000,33186.000000
1668.149553,0.187682,49420.000000,32079.000000
1671.124056,0.153304,43252.000000,30388.000000
1674.094160,0.118374,37007.000000,28178.000000
1677.059866,0.087221,31448.000000,25726.000000
1680.021172,0.063539,26509.000000,22901.000000
1682.978078,0.049999,22318.000000,19891.000000
1685.930586,0.041434,18913.000000,17192.000000
1688.878695,0.032496,16215.000000,15046.000000
1691.822404,0.030003,13947.000000,13016.000000
1694.761714,0.038260,12072.000000,11054.000000
1697.696625,0.036250,10552.000000,9707.000000
1700.627137,0.041788,9233.000000,8386.000000
