Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 23:9:27,,
Header Version:,1,,
System Temp (C):,35.24,,
Detector Temp (C):,33.35,,
Humidity (%):,38.73,,
Lamp PD:,3778,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.469,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.272860,23756.000000,12674.000000
905.500242,0.277534,26065.000000,13757.000000
909.444026,0.275562,28446.000000,15082.000000
913.383411,0.280459,31151.000000,16331.000000
917.318397,0.284815,34594.000000,17955.000000
921.248983,0.285015,38706.000000,20080.000000
925.175171,0.283865,43333.000000,22540.000000
929.096959,0.284120,48106.000000,25008.000000
933.014348,0.283209,52854.000000,27534.000000
936.927338,0.278883,57207.000000,30100.000000
942.137815,0.274821,62583.000000,33238.000000
946.040540,0.272777,66412.000000,35438.000000
949.938866,0.269118,70192.000000,37772.000000
953.832793,0.267070,73953.000000,39984.000000
957.722320,0.264392,77741.000000,42292.000000
961.607449,0.264153,81459.000000,44339.000000
965.488178,0.262205,84970.000000,46458.000000
969.364509,0.261401,88307.000000,48372.000000
973.236440,0.257691,91422.000000,50508.000000
977.103972,0.258016,94242.000000,52027.000000
980.967105,0.255050,96650.000000,53722.000000
984.825838,0.256960,98706.000000,54624.000000
988.680173,0.255556,100691.000000,55903.000000
992.530108,0.254159,102102.000000,56869.000000
997.656512,0.253416,103062.000000,57502.000000
1001.496183,0.253075,103488.000000,57785.000000
1005.331454,0.252157,103668.000000,58008.000000
1009.162327,0.251230,103604.000000,58096.000000
1012.988800,0.250320,103501.000000,58160.000000
1016.810874,0.250240,103473.000000,58155.000000
1020.628549,0.250347,103180.000000,57976.000000
1024.441824,0.250531,102848.000000,57765.000000
1028.250701,0.249974,102542.000000,57667.000000
1032.055178,0.249958,102330.000000,57550.000000
1035.855257,0.249225,102161.000000,57552.000000
1039.650936,0.248588,101990.000000,57540.000000
1043.442216,0.248342,101741.000000,57432.000000
1048.490413,0.249423,101666.000000,57247.000000
