Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 23:54:56,,
Header Version:,1,,
System Temp (C):,35.18,,
Detector Temp (C):,31.27,,
Humidity (%):,46.74,,
Lamp PD:,3774,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.519,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.139816,23756.000000,17217.000000
905.500242,0.135821,26065.000000,19065.000000
909.444026,0.136668,28446.000000,20766.000000
913.383411,0.150221,31151.000000,22042.000000
917.318397,0.161112,34594.000000,23872.000000
921.248983,0.161007,38706.000000,26716.000000
925.175171,0.157560,43333.000000,30148.000000
929.096959,0.156766,48106.000000,33530.000000
933.014348,0.157702,52854.000000,36760.000000
936.927338,0.155867,57207.000000,39956.000000
942.137815,0.152964,62583.000000,44004.000000
946.040540,0.152549,66412.000000,46741.000000
949.938866,0.149163,70192.000000,49788.000000
953.832793,0.153613,73953.000000,51921.000000
957.722320,0.151426,77741.000000,54856.000000
961.607449,0.150984,81459.000000,57538.000000
965.488178,0.151890,84970.000000,59893.000000
969.364509,0.152973,88307.000000,62090.000000
973.236440,0.148719,91422.000000,64913.000000
977.103972,0.146178,94242.000000,67308.000000
980.967105,0.146661,96650.000000,68951.000000
984.825838,0.150712,98706.000000,69764.000000
988.680173,0.146757,100691.000000,71818.000000
992.530108,0.148074,102102.000000,72604.000000
997.656512,0.150085,103062.000000,72948.000000
1001.496183,0.152490,103488.000000,72845.000000
1005.331454,0.150914,103668.000000,73237.000000
1009.162327,0.148912,103604.000000,73530.000000
1012.988800,0.150992,103501.000000,73106.000000
1016.810874,0.150357,103473.000000,73193.000000
1020.628549,0.149821,103180.000000,73076.000000
1024.441824,0.148730,102848.000000,73024.000000
1028.250701,0.148908,102542.000000,72777.000000
1032.055178,0.149186,102330.000000,72580.000000
1035.855257,0.146034,102161.000000,72988.000000
1039.650936,0.146552,101990.000000,72779.000000
1043.442216,0.147374,101741.000000,72464.000000
1048.490413,0.149964,101666.000000,71980.000000
1052.271428,0.148447,101700.000000,72256.000000
1056.048044,0.146444,101777.000000,72645.000000
1059.820261,0.145371,101906.000000,72917.000000
1063.588079,0.145998,102259.000000,73064.000000
1067.351497,0.147397,102763.000000,73188.000000
1071.110517,0.143345,103190.000000,74181.000000
1074.865137,0.145197,103645.000000,74191.000000
1078.615358,0.145529,104247.000000,74565.000000
1082.361180,0.141545,104844.000000,75683.000000
1086.102603,0.142661,105404.000000,75892.000000
1089.839627,0.142016,105830.000000,76312.000000
1093.572251,0.144230,106541.000000,76434.000000
1097.300477,0.144452,106997.000000,76722.000000
1102.264601,0.142290,107655.000000,77579.000000
1105.982562,0.148394,108209.000000,76890.000000
1109.696123,0.148399,108541.000000,77125.000000
1113.405285,0.149191,108883.000000,77227.000000
1117.110049,0.156182,109111.000000,76153.000000
1120.810413,0.159084,109449.000000,75880.000000
1124.506378,0.162680,110148.000000,75735.000000
1128.197943,0.163770,110387.000000,75709.000000
1131.885110,0.163114,110542.000000,75930.000000
1135.567878,0.156779,110818.000000,77238.000000
1139.246246,0.151007,111041.000000,78429.000000
1142.920215,0.149729,111319.000000,78857.000000
