Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 23:6:26,,
Header Version:,1,,
System Temp (C):,35.28,,
Detector Temp (C):,32.94,,
Humidity (%):,40.01,,
Lamp PD:,3775,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.457,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.160347,23756.000000,16422.000000
905.500242,0.169018,26065.000000,17662.000000
909.444026,0.167677,28446.000000,19335.000000
913.383411,0.176559,31151.000000,20745.000000
917.318397,0.176688,34594.000000,23031.000000
921.248983,0.179301,38706.000000,25614.000000
925.175171,0.180240,43333.000000,28614.000000
929.096959,0.179567,48106.000000,31815.000000
933.014348,0.180788,52854.000000,34857.000000
936.927338,0.178741,57207.000000,37906.000000
942.137815,0.176320,62583.000000,41700.000000
946.040540,0.176186,66412.000000,44265.000000
949.938866,0.174745,70192.000000,46940.000000
953.832793,0.175818,73953.000000,49333.000000
957.722320,0.175366,77741.000000,51914.000000
961.607449,0.176852,81459.000000,54211.000000
965.488178,0.175560,84970.000000,56716.000000
969.364509,0.177372,88307.000000,58698.000000
973.236440,0.174612,91422.000000,61156.000000
977.103972,0.176091,94242.000000,62828.000000
980.967105,0.174647,96650.000000,64648.000000
984.825838,0.177294,98706.000000,65622.000000
988.680173,0.177448,100691.000000,66918.000000
992.530108,0.175989,102102.000000,68084.000000
997.656512,0.177839,103062.000000,68432.000000
1001.496183,0.177535,103488.000000,68763.000000
1005.331454,0.177810,103668.000000,68839.000000
1009.162327,0.177738,103604.000000,68808.000000
1012.988800,0.176788,103501.000000,68890.000000
1016.810874,0.178009,103473.000000,68678.000000
1020.628549,0.177689,103180.000000,68534.000000
1024.441824,0.177616,102848.000000,68325.000000
1028.250701,0.177455,102542.000000,68147.000000
1032.055178,0.177156,102330.000000,68053.000000
1035.855257,0.177332,102161.000000,67913.000000
1039.650936,0.176106,101990.000000,67991.000000
1043.442216,0.176401,101741.000000,67779.000000
1048.490413,0.176209,101666.000000,67759.000000
1052.271428,0.175464,101700.000000,67898.000000
1056.048044,0.174018,101777.000000,68176.000000
1059.820261,0.174103,101906.000000,68249.000000
1063.588079,0.173251,102259.000000,68620.000000
1067.351497,0.173315,102763.000000,68948.000000
1071.110517,0.172015,103190.000000,69442.000000
1074.865137,0.171021,103645.000000,69908.000000
1078.615358,0.170596,104247.000000,70383.000000
1082.361180,0.169983,104844.000000,70886.000000
1086.102603,0.169195,105404.000000,71394.000000
1089.839627,0.168134,105830.000000,71858.000000
1093.572251,0.167790,106541.000000,72398.000000
1097.300477,0.168220,106997.000000,72636.000000
1102.264601,0.167743,107655.000000,73163.000000
1105.982562,0.168224,108209.000000,73458.000000
1109.696123,0.169029,108541.000000,73547.000000
1113.405285,0.169858,108883.000000,73638.000000
1117.110049,0.169924,109111.000000,73781.000000
1120.810413,0.171238,109449.000000,73786.000000
1124.506378,0.174356,110148.000000,73726.000000
1128.197943,0.173980,110387.000000,73950.000000
1131.885110,0.175000,110542.000000,73880.000000
1135.567878,0.173750,110818.000000,74278.000000
1139.246246,0.173759,111041.000000,74426.000000
1142.920215,0.174174,111319.000000,74541.000000
1146.589785,0.173369,111575.000000,74851.000000
1150.254956,0.174650,112030.000000,74935.000000
1155.135007,0.176616,112594.000000,74972.000000
1158.789913,0.177704,113176.000000,75171.000000
1162.440420,0.179577,113756.000000,75231.000000
1166.086528,0.181917,114495.000000,75313.000000
1169.728237,0.183830,115248.000000,75475.000000
1173.365546,0.185207,116196.000000,75855.000000
1176.998457,0.186870,117260.000000,76257.000000
1180.626968,0.186337,118314.000000,77037.000000
1184.251080,0.186377,119420.000000,77750.000000
1187.870793,0.185291,120660.000000,78754.000000
1191.486107,0.184276,122104.000000,79883.000000
1195.097021,0.181862,123408.000000,81186.000000
1198.703537,0.180267,124879.000000,82456.000000
1203.505381,0.177891,127171.000000,84430.000000
1207.101631,0.176110,128929.000000,85949.000000
1210.693483,0.175019,130624.000000,87298.000000
1214.280935,0.173722,132432.000000,88771.000000
1217.863989,0.172439,134356.000000,90327.000000
1221.442643,0.171659,136434.000000,91889.000000
1225.016898,0.171313,138254.000000,93189.000000
1228.586754,0.170716,140110.000000,94570.000000
1232.152210,0.169952,142307.000000,96222.000000
1235.713268,0.169700,144480.000000,97748.000000
1239.269926,0.169126,146375.000000,99161.000000
1242.822185,0.168278,148395.000000,100726.000000
1246.370045,0.168806,150778.000000,102219.000000
1249.913506,0.167486,153060.000000,104082.000000
1254.631278,0.168168,155918.000000,105859.000000
1258.164474,0.168366,157931.000000,107177.000000
1261.693271,0.169533,160225.000000,108442.000000
1265.217669,0.169366,162531.000000,110045.000000
1268.737667,0.169700,164471.000000,111273.000000
1272.253267,0.169452,166342.000000,112603.000000
1275.764467,0.170225,168611.000000,113936.000000
1279.271269,0.169801,170630.000000,115413.000000
1282.773671,0.169892,172186.000000,116441.000000
1286.271674,0.168686,173503.000000,117658.000000
1289.765277,0.168455,175078.000000,118789.000000
1293.254482,0.169082,176321.000000,119460.000000
1296.739287,0.169207,177150.000000,119987.000000
1300.219694,0.169725,178114.000000,120496.000000
1304.853392,0.170446,179516.000000,121243.000000
1308.323534,0.171052,180112.000000,121476.000000
1311.789276,0.172176,180427.000000,121374.000000
1315.250620,0.171434,180849.000000,121866.000000
1318.707564,0.172332,181295.000000,121914.000000
