Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 20:43:36,,
Header Version:,1,,
System Temp (C):,31.79,,
Detector Temp (C):,29.31,,
Humidity (%):,50.09,,
Lamp PD:,3777,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.504,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.385790,23756.000000,9772.000000
905.500242,0.396900,26065.000000,10451.000000
909.444026,0.395899,28446.000000,11432.000000
913.383411,0.386126,31151.000000,12804.000000
917.318397,0.385826,34594.000000,14229.000000
921.248983,0.381303,38706.000000,16087.000000
925.175171,0.388380,43333.000000,17719.000000
929.096959,0.388925,48106.000000,19646.000000
933.014348,0.385918,52854.000000,21735.000000
936.927338,0.381694,57207.000000,23755.000000
942.137815,0.380832,62583.000000,26039.000000
946.040540,0.377624,66412.000000,27837.000000
949.938866,0.375157,70192.000000,29589.000000
953.832793,0.369874,73953.000000,31556.000000
957.722320,0.364440,77741.000000,33590.000000
961.607449,0.370297,81459.000000,34725.000000
965.488178,0.366081,84970.000000,36575.000000
969.364509,0.365161,88307.000000,38092.000000
973.236440,0.365147,91422.000000,39437.000000
977.103972,0.367358,94242.000000,40447.000000
980.967105,0.365910,96650.000000,41619.000000
984.825838,0.363204,98706.000000,42770.000000
988.680173,0.363753,100691.000000,43575.000000
992.530108,0.363799,102102.000000,44181.000000
997.656512,0.357787,103062.000000,45218.000000
1001.496183,0.356898,103488.000000,45498.000000
1005.331454,0.353605,103668.000000,45924.000000
1009.162327,0.355337,103604.000000,45713.000000
1012.988800,0.353350,103501.000000,45877.000000
1016.810874,0.350016,103473.000000,46218.000000
1020.628549,0.354707,103180.000000,45592.000000
1024.441824,0.356069,102848.000000,45303.000000
1028.250701,0.354852,102542.000000,45295.000000
1032.055178,0.353972,102330.000000,45293.000000
1035.855257,0.355003,102161.000000,45111.000000
1039.650936,0.355635,101990.000000,44970.000000
1043.442216,0.351753,101741.000000,45263.000000
1048.490413,0.351768,101666.000000,45228.000000
1052.271428,0.348061,101700.000000,45631.000000
1056.048044,0.353002,101777.000000,45149.000000
1059.820261,0.353282,101906.000000,45177.000000
1063.588079,0.352818,102259.000000,45382.000000
1067.351497,0.353301,102763.000000,45555.000000
1071.110517,0.355302,103190.000000,45534.000000
1074.865137,0.356431,103645.000000,45616.000000
1078.615358,0.353864,104247.000000,46153.000000
1082.361180,0.355920,104844.000000,46198.000000
1086.102603,0.357314,105404.000000,46296.000000
1089.839627,0.352816,105830.000000,46967.000000
1093.572251,0.352674,106541.000000,47298.000000
1097.300477,0.352660,106997.000000,47502.000000
1102.264601,0.354208,107655.000000,47624.000000
1105.982562,0.353901,108209.000000,47903.000000
1109.696123,0.350937,108541.000000,48379.000000
1113.405285,0.358533,108883.000000,47690.000000
1117.110049,0.357578,109111.000000,47895.000000
1120.810413,0.355624,109449.000000,48260.000000
1124.506378,0.361995,110148.000000,47861.000000
1128.197943,0.361812,110387.000000,47985.000000
1131.885110,0.363292,110542.000000,47889.000000
1135.567878,0.364674,110818.000000,47856.000000
1139.246246,0.365674,111041.000000,47842.000000
1142.920215,0.365817,111319.000000,47946.000000
1146.589785,0.365323,111575.000000,48111.000000
1150.254956,0.363208,112030.000000,48543.000000
1155.135007,0.362544,112594.000000,48862.000000
1158.789913,0.369798,113176.000000,48301.000000
1162.440420,0.369714,113756.000000,48558.000000
1166.086528,0.370946,114495.000000,48735.000000
1169.728237,0.373828,115248.000000,48731.000000
1173.365546,0.375394,116196.000000,48955.000000
1176.998457,0.376514,117260.000000,49276.000000
1180.626968,0.377152,118314.000000,49646.000000
1184.251080,0.378350,119420.000000,49972.000000
1187.870793,0.379279,120660.000000,50383.000000
1191.486107,0.377070,122104.000000,51246.000000
1195.097021,0.373581,123408.000000,52211.000000
1198.703537,0.372870,124879.000000,52920.000000
1203.505381,0.373219,127171.000000,53848.000000
1207.101631,0.371317,128929.000000,54832.000000
1210.693483,0.370886,130624.000000,55608.000000
1214.280935,0.370645,132432.000000,56409.000000
1217.863989,0.366893,134356.000000,57725.000000
1221.442643,0.364748,136434.000000,58908.000000
1225.016898,0.367176,138254.000000,59361.000000
1228.586754,0.366137,140110.000000,60302.000000
1232.152210,0.361662,142307.000000,61882.000000
1235.713268,0.365864,144480.000000,62222.000000
1239.269926,0.365651,146375.000000,63069.000000
1242.822185,0.362237,148395.000000,64444.000000
1246.370045,0.365465,150778.000000,64994.000000
1249.913506,0.364023,153060.000000,66197.000000
1254.631278,0.363374,155918.000000,67534.000000
1258.164474,0.365199,157931.000000,68119.000000
1261.693271,0.363559,160225.000000,69370.000000
1265.217669,0.361566,162531.000000,70692.000000
1268.737667,0.365492,164471.000000,70892.000000
1272.253267,0.362549,166342.000000,72186.000000
1275.764467,0.360280,168611.000000,73554.000000
1279.271269,0.364276,170630.000000,73753.000000
1282.773671,0.365003,172186.000000,74301.000000
1286.271674,0.364819,173503.000000,74901.000000
1289.765277,0.361664,175078.000000,76132.000000
1293.254482,0.363694,176321.000000,76315.000000
1296.739287,0.363172,177150.000000,76766.000000
1300.219694,0.362805,178114.000000,77249.000000
1304.853392,0.363297,179516.000000,77769.000000
1308.323534,0.362630,180112.000000,78147.000000
1311.789276,0.365004,180427.000000,77857.000000
1315.250620,0.363321,180849.000000,78342.000000
1318.707564,0.361727,181295.000000,78824.000000
1322.160109,0.366150,181387.000000,78065.000000
1325.608255,0.365759,181312.000000,78103.000000
1329.052002,0.365607,181274.000000,78114.000000
1332.491349,0.367134,181109.000000,77769.000000
1335.926297,0.366857,180689.000000,77638.000000
1339.356847,0.365341,179848.000000,77547.000000
1342.782997,0.372249,179242.000000,76066.000000
1346.204748,0.374059,178573.000000,75467.000000
1349.622099,0.374408,177890.000000,75118.000000
1354.171725,0.378973,176659.000000,73818.000000
1357.578812,0.381442,175938.000000,73100.000000
1360.981500,0.383147,175417.000000,72598.000000
1364.379789,0.382441,174939.000000,72518.000000
1367.773679,0.382691,174429.000000,72265.000000
1371.163169,0.382807,174092.000000,72106.000000
1374.548260,0.383996,173838.000000,71804.000000
1377.928953,0.384936,173647.000000,71570.000000
1381.305246,0.385737,173017.000000,71179.000000
1384.677139,0.389696,172585.000000,70357.000000
1388.044634,0.393246,172273.000000,69658.000000
1391.407730,0.396461,171871.000000,68983.000000
1394.766426,0.398713,171212.000000,68363.000000
1399.237845,0.404672,170477.000000,67142.000000
1402.586276,0.406794,170057.000000,66650.000000
1405.930309,0.412905,169522.000000,65512.000000
1409.269942,0.415417,169040.000000,64949.000000
1412.605176,0.418791,168685.000000,64311.000000
1415.936011,0.425316,168440.000000,63260.000000
1419.262447,0.426457,168277.000000,63033.000000
1422.584484,0.428107,168052.000000,62710.000000
1425.902122,0.431950,168094.000000,62173.000000
1429.215360,0.434466,168176.000000,61844.000000
1432.524199,0.434420,168237.000000,61873.000000
1435.828639,0.436436,168356.000000,61630.000000
1439.128680,0.438105,168675.000000,61510.000000
1442.424322,0.438654,168916.000000,61520.000000
1446.811668,0.438602,169258.000000,61652.000000
1450.097045,0.438983,169379.000000,61642.000000
1453.378023,0.437375,169391.000000,61875.000000
1456.654602,0.442447,169334.000000,61136.000000
1459.926782,0.444060,169305.000000,60899.000000
1463.194562,0.444264,169126.000000,60806.000000
1466.457943,0.442947,168919.000000,60916.000000
1469.716926,0.442239,168594.000000,60898.000000
1472.971509,0.442253,168234.000000,60766.000000
1476.221692,0.443501,167663.000000,60386.000000
1479.467477,0.443886,167217.000000,60172.000000
1482.708863,0.443582,166625.000000,60001.000000
1485.945849,0.446957,166131.000000,59360.000000
1489.178436,0.450400,165518.000000,58674.000000
1493.481710,0.452658,164484.000000,58005.000000
1496.704032,0.454466,164054.000000,57613.000000
1499.921956,0.453844,163401.000000,57466.000000
1503.135480,0.454585,162290.000000,56978.000000
1506.344605,0.452347,161374.000000,56949.000000
1509.549331,0.449680,160366.000000,56942.000000
1512.749658,0.446226,159378.000000,57043.000000
1515.945585,0.448438,158285.000000,56364.000000
1519.137114,0.449144,157316.000000,55928.000000
1522.324243,0.445726,156147.000000,55951.000000
1525.506973,0.444068,155113.000000,55793.000000
1528.685304,0.440474,154000.000000,55853.000000
1531.859236,0.438157,152588.000000,55637.000000
1535.028769,0.437239,151256.000000,55268.000000
1539.247969,0.434953,149501.000000,54915.000000
1542.407237,0.431589,148026.000000,54796.000000
1545.562106,0.428892,146484.000000,54563.000000
1548.712576,0.424067,144932.000000,54588.000000
1551.858646,0.419998,143312.000000,54486.000000
1555.000318,0.422999,141623.000000,53473.000000
1558.137590,0.423105,139790.000000,52768.000000
1561.270463,0.421810,137958.000000,52232.000000
1564.398937,0.417224,136203.000000,52115.000000
1567.523012,0.414864,134303.000000,51668.000000
1570.642687,0.413857,132340.000000,51031.000000
1573.757964,0.415281,130373.000000,50108.000000
1576.868841,0.413851,128194.000000,49433.000000
1581.009834,0.412372,125453.000000,48541.000000
1584.110447,0.411577,123268.000000,47783.000000
1587.206660,0.411054,121128.000000,47010.000000
1590.298475,0.410007,118983.000000,46289.000000
1593.385890,0.406701,116601.000000,45709.000000
1596.468906,0.406993,114492.000000,44852.000000
1599.547522,0.406949,112247.000000,43977.000000
1602.621740,0.401278,110113.000000,43708.000000
1605.691559,0.397588,107845.000000,43173.000000
1608.756978,0.394113,105764.000000,42680.000000
1611.817998,0.394696,103762.000000,41816.000000
1614.874619,0.389783,101454.000000,41351.000000
1617.926841,0.384466,99141.000000,40906.000000
1620.974664,0.391075,96810.000000,39341.000000
1625.031584,0.387669,93749.000000,38397.000000
1628.069142,0.386705,91480.000000,37551.000000
1631.102301,0.389596,89180.000000,36364.000000
1634.131061,0.388758,86957.000000,35526.000000
1637.155422,0.390837,84664.000000,34424.000000
1640.175383,0.388934,82560.000000,33716.000000
1643.190945,0.393669,80299.000000,32437.000000
1646.202108,0.395801,77863.000000,31299.000000
1649.208872,0.393326,75323.000000,30451.000000
1652.211237,0.389465,72646.000000,29631.000000
1655.209203,0.383900,69695.000000,28794.000000
1658.202769,0.393968,66120.000000,26691.000000
1661.191937,0.391470,61928.000000,25143.000000
1664.176705,0.383325,57108.000000,23625.000000
1668.149553,0.351895,49420.000000,21979.000000
1671.124056,0.334304,43252.000000,20031.000000
1674.094160,0.311783,37007.000000,18051.000000
1677.059866,0.313271,31448.000000,15287.000000
1680.021172,0.308249,26509.000000,13036.000000
1682.978078,0.310433,22318.000000,10920.000000
1685.930586,0.314533,18913.000000,9167.000000
1688.878695,0.305526,16215.000000,8024.000000
1691.822404,0.309171,13947.000000,6844.000000
1694.761714,0.329731,12072.000000,5650.000000
1697.696625,0.335093,10552.000000,4878.000000
1700.627137,0.346145,9233.000000,4161.000000
