Method:,Hadamard 1,,
Host Date-Time:,4/6/26 @ 22:51:9,,
Header Version:,1,,
System Temp (C):,28.78,,
Detector Temp (C):,28.48,,
Humidity (%):,55.85,,
Lamp PD:,3783,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.464,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.335567,23756.000000,10970.000000
905.500242,0.353062,26065.000000,11561.000000
909.444026,0.351896,28446.000000,12651.000000
913.383411,0.358658,31151.000000,13640.000000
917.318397,0.351198,34594.000000,15410.000000
921.248983,0.350888,38706.000000,17254.000000
925.175171,0.350407,43333.000000,19338.000000
929.096959,0.360456,48106.000000,20977.000000
933.014348,0.344625,52854.000000,23903.000000
936.927338,0.348497,57207.000000,25642.000000
942.137815,0.350354,62583.000000,27932.000000
946.040540,0.340174,66412.000000,30344.000000
949.938866,0.348267,70192.000000,31479.000000
953.832793,0.336724,73953.000000,34059.000000
957.722320,0.347302,77741.000000,34942.000000
961.607449,0.344231,81459.000000,36873.000000
965.488178,0.340501,84970.000000,38794.000000
969.364509,0.338969,88307.000000,40460.000000
973.236440,0.333265,91422.000000,42441.000000
977.103972,0.339757,94242.000000,43101.000000
980.967105,0.329343,96650.000000,45275.000000
984.825838,0.331916,98706.000000,45965.000000
988.680173,0.337185,100691.000000,46324.000000
992.530108,0.329534,102102.000000,47808.000000
997.656512,0.333353,103062.000000,47835.000000
1001.496183,0.331222,103488.000000,48269.000000
1005.331454,0.328027,103668.000000,48710.000000
1009.162327,0.330495,103604.000000,48404.000000
1012.988800,0.328103,103501.000000,48623.000000
1016.810874,0.325838,103473.000000,48864.000000
1020.628549,0.327344,103180.000000,48557.000000
1024.441824,0.332287,102848.000000,47853.000000
1028.250701,0.323667,102542.000000,48667.000000
1032.055178,0.325696,102330.000000,48340.000000
1035.855257,0.329022,102161.000000,47892.000000
1039.650936,0.322082,101990.000000,48582.000000
1043.442216,0.326400,101741.000000,47984.000000
1048.490413,0.327040,101666.000000,47878.000000
1052.271428,0.321454,101700.000000,48514.000000
1056.048044,0.324828,101777.000000,48175.000000
1059.820261,0.323372,101906.000000,48398.000000
1063.588079,0.327782,102259.000000,48075.000000
1067.351497,0.323880,102763.000000,48748.000000
1071.110517,0.327466,103190.000000,48548.000000
1074.865137,0.320154,103645.000000,49590.000000
1078.615358,0.322599,104247.000000,49598.000000
1082.361180,0.326922,104844.000000,49388.000000
1086.102603,0.319574,105404.000000,50499.000000
1089.839627,0.324251,105830.000000,50160.000000
1093.572251,0.323701,106541.000000,50561.000000
1097.300477,0.322807,106997.000000,50882.000000
1102.264601,0.324285,107655.000000,51021.000000
1105.982562,0.321976,108209.000000,51557.000000
1109.696123,0.321088,108541.000000,51821.000000
1113.405285,0.327521,108883.000000,51220.000000
1117.110049,0.323514,109111.000000,51803.000000
1120.810413,0.323551,109449.000000,51959.000000
1124.506378,0.328452,110148.000000,51704.000000
1128.197943,0.329075,110387.000000,51742.000000
1131.885110,0.326865,110542.000000,52079.000000
1135.567878,0.326898,110818.000000,52205.000000
1139.246246,0.326194,111041.000000,52395.000000
1142.920215,0.330174,111319.000000,52047.000000
1146.589785,0.330071,111575.000000,52179.000000
1150.254956,0.324624,112030.000000,53053.000000
1155.135007,0.331042,112594.000000,52538.000000
1158.789913,0.331466,113176.000000,52758.000000
1162.440420,0.329174,113756.000000,53309.000000
1166.086528,0.336013,114495.000000,52817.000000
1169.728237,0.334222,115248.000000,53384.000000
1173.365546,0.338049,116196.000000,53351.000000
